,id,surface,pos,len
0,0,"['延', '宝']","['名詞,一般,*,*', '名詞,一般,*,*']",2
1,2,"['と', 'も', '言える']","['助詞,格助詞,引用,*', '助詞,係助詞,*,*', '動詞,自立,*,*']",3
2,3,"['おめでとう', 'ござい', 'ます']","['感動詞,*,*,*', '助動詞,*,*,*', '助動詞,*,*,*']",3
3,4,"['を', '思']","['助詞,格助詞,一般,*', '名詞,固有名詞,組織,*']",2
4,5,"['の', '流行']","['助詞,連体化,*,*', '名詞,サ変接続,*,*']",2
5,6,['アヴェ'],"['名詞,固有名詞,組織,*']",1
6,8,"['に', 'なっ', 'て', 'ます']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助詞,接続助詞,*,*', '助動詞,*,*,*']",4
7,9,['法'],"['名詞,一般,*,*']",1
8,10,"['スタート', 'アップ']","['名詞,サ変接続,*,*', '名詞,サ変接続,*,*']",2
9,11,"['を', '入れ', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
10,12,"['事', 'は']","['名詞,一般,*,*', '助詞,係助詞,*,*']",2
11,13,"['の', '観点', 'から']","['助詞,連体化,*,*', '名詞,一般,*,*', '助詞,格助詞,一般,*']",3
12,14,"['の', '損失']","['助詞,連体化,*,*', '名詞,サ変接続,*,*']",2
13,15,"['さ', 'れる', 'という']","['動詞,自立,*,*', '動詞,接尾,*,*', '助詞,格助詞,連語,*']",3
14,16,"['の', '進展']","['助詞,連体化,*,*', '名詞,サ変接続,*,*']",2
15,17,"['繋がり', 'たい']","['動詞,自立,*,*', '助動詞,*,*,*']",2
16,18,"['の', '実際']","['助詞,連体化,*,*', '副詞,助詞類接続,*,*']",2
17,19,"['おき', 'ましょ', 'う']","['動詞,自立,*,*', '助動詞,*,*,*', '助動詞,*,*,*']",3
18,20,"['を', 'つとめ', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
19,21,"['消化', '器']","['名詞,サ変接続,*,*', '名詞,接尾,一般,*']",2
20,22,"['表現', 'し', 'た']","['名詞,サ変接続,*,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
21,23,['市民'],"['名詞,一般,*,*']",1
22,24,"['し', 'た', '後']","['動詞,自立,*,*', '助動詞,*,*,*', '名詞,非自立,副詞可能,*']",3
23,25,['東北'],"['名詞,固有名詞,地域,一般']",1
24,26,['惨'],"['形容詞,自立,*,*']",1
25,28,"['を', '抱え', 'て', 'いる']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助詞,接続助詞,*,*', '動詞,非自立,*,*']",4
26,29,['プランナー'],"['名詞,一般,*,*']",1
27,30,"['から', '解放']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*']",2
28,31,"['を', '搭載', 'し']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*']",3
29,32,"['の', '名前', 'を']","['助詞,連体化,*,*', '名詞,一般,*,*', '助詞,格助詞,一般,*']",3
30,33,"['の', '知見']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
31,37,"['の', 'お手伝い']","['助詞,連体化,*,*', '名詞,サ変接続,*,*']",2
32,38,"['経営', '陣']","['名詞,サ変接続,*,*', '名詞,接尾,一般,*']",2
33,39,['プトレ'],"['名詞,固有名詞,組織,*']",1
34,40,['スキ'],"['名詞,固有名詞,一般,*']",1
35,41,"['として', '参加']","['助詞,格助詞,連語,*', '名詞,サ変接続,*,*']",2
36,43,"['かっ', 'た', 'ため']","['動詞,自立,*,*', '助動詞,*,*,*', '名詞,非自立,副詞可能,*']",3
37,44,"['の', '影響', 'を', '受け', 'た']","['助詞,連体化,*,*', '名詞,サ変接続,*,*', '助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",5
38,45,"['し', 'て', 'いける']","['動詞,自立,*,*', '助詞,接続助詞,*,*', '動詞,非自立,*,*']",3
39,46,['ースポーツ'],"['名詞,固有名詞,組織,*']",1
40,47,"['を', '送っ', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
41,48,"['は', 'でき', 'ない']","['助詞,係助詞,*,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
42,49,['京都'],"['名詞,固有名詞,地域,一般']",1
43,50,"['やっ', 'て', 'も']","['動詞,自立,*,*', '助詞,接続助詞,*,*', '助詞,係助詞,*,*']",3
44,51,"['時間', 'を', '過ごす']","['名詞,副詞可能,*,*', '助詞,格助詞,一般,*', '動詞,自立,*,*']",3
45,52,"['兵庫', '県立']","['名詞,固有名詞,地域,一般', '名詞,一般,*,*']",2
46,53,['人民'],"['名詞,一般,*,*']",1
47,54,"['の', '異']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
48,55,"['今', 'まで', 'は']","['名詞,副詞可能,*,*', '助詞,副助詞,*,*', '助詞,係助詞,*,*']",3
49,56,"['被害', 'を', '受け', 'た']","['名詞,一般,*,*', '助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",4
50,57,"['の', '簡単']","['助詞,連体化,*,*', '名詞,形容動詞語幹,*,*']",2
51,58,"['わずか', 'に']","['副詞,助詞類接続,*,*', '助詞,副詞化,*,*']",2
52,59,['引き継が'],"['動詞,自立,*,*']",1
53,60,['白星'],"['名詞,一般,*,*']",1
54,61,['現実'],"['名詞,一般,*,*']",1
55,62,"['管理', 'する']","['名詞,サ変接続,*,*', '動詞,自立,*,*']",2
56,63,"['を', '我']","['助詞,格助詞,一般,*', '名詞,一般,*,*']",2
57,64,['インターチェンジ'],"['名詞,一般,*,*']",1
58,66,['フェンス'],"['名詞,一般,*,*']",1
59,67,['贈り'],"['動詞,自立,*,*']",1
60,68,['ズマ'],"['名詞,固有名詞,組織,*']",1
61,69,"['の', '個性']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
62,71,"['を', '知っ', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
63,72,"['文京', '区']","['名詞,固有名詞,地域,一般', '名詞,接尾,地域,*']",2
64,73,['営'],"['名詞,固有名詞,組織,*']",1
65,74,['ショウ'],"['名詞,一般,*,*']",1
66,76,"['その', '名', 'も']","['連体詞,*,*,*', '名詞,一般,*,*', '助詞,係助詞,*,*']",3
67,77,['コストパフォーマンス'],"['名詞,一般,*,*']",1
68,78,"['の', '夏']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
69,80,['フト'],"['名詞,固有名詞,組織,*']",1
70,81,['見かけ'],"['名詞,一般,*,*']",1
71,82,"['ひ', 'ら', 'が', 'な']","['動詞,自立,*,*', '名詞,接尾,一般,*', '助詞,格助詞,一般,*', '助詞,終助詞,*,*']",4
72,83,['慣れ'],"['動詞,自立,*,*']",1
73,84,"['写真', 'は']","['名詞,一般,*,*', '助詞,係助詞,*,*']",2
74,85,['深'],"['形容詞,自立,*,*']",1
75,87,"['研究', 'で', 'は']","['名詞,サ変接続,*,*', '助詞,格助詞,一般,*', '助詞,係助詞,*,*']",3
76,88,"['増え', 'て']","['動詞,自立,*,*', '助詞,接続助詞,*,*']",2
77,89,['ベルギー'],"['名詞,固有名詞,地域,国']",1
78,90,"['の', '書籍']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
79,92,['報告'],"['名詞,サ変接続,*,*']",1
80,94,"['の', '頃', 'から']","['助詞,連体化,*,*', '名詞,非自立,副詞可能,*', '助詞,格助詞,一般,*']",3
81,95,"['情報', '通信']","['名詞,一般,*,*', '名詞,サ変接続,*,*']",2
82,96,"['に', 'なっ', 'た', 'ので']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*', '助詞,接続助詞,*,*']",4
83,97,['用具'],"['名詞,一般,*,*']",1
84,98,"['の', 'かも']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
85,99,"['の', '仕様']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
86,100,['脊椎'],"['名詞,一般,*,*']",1
87,101,"['分かっ', 'て', 'いる']","['動詞,自立,*,*', '助詞,接続助詞,*,*', '動詞,非自立,*,*']",3
88,102,['厚く'],"['形容詞,自立,*,*']",1
89,103,"['ござい', 'ます']","['動詞,自立,*,*', '助動詞,*,*,*']",2
90,104,"['が', 'スタート']","['接続詞,*,*,*', '名詞,サ変接続,*,*']",2
91,106,"['の', '完全', 'な']","['助詞,連体化,*,*', '名詞,形容動詞語幹,*,*', '助動詞,*,*,*']",3
92,107,"['発信', 'する']","['名詞,サ変接続,*,*', '動詞,自立,*,*']",2
93,108,"['が', '発売']","['接続詞,*,*,*', '名詞,サ変接続,*,*']",2
94,109,['盟友'],"['名詞,一般,*,*']",1
95,110,['供給'],"['名詞,サ変接続,*,*']",1
96,111,['質量'],"['名詞,一般,*,*']",1
97,112,['メロディ'],"['名詞,一般,*,*']",1
98,113,['フュ'],"['名詞,固有名詞,組織,*']",1
99,114,"['自身', '初', 'の']","['名詞,一般,*,*', '名詞,接尾,一般,*', '助詞,連体化,*,*']",3
100,115,['紙面'],"['名詞,一般,*,*']",1
