,id,vocab
0,7779,▁ég
1,17874,▁soc
2,128,<0x7D>
3,10373,ictures
4,21425,iums
5,24739,EditText
6,9680,artifactId
7,30574,乡
8,14280,▁storm
9,15205,▁owned
10,22695,▁Ана
11,11852,asketball
12,31703,守
13,31492,∙
14,30178,Ó
15,17729,bow
16,4113,▁admin
17,13425,Tube
18,1720,▁Il
19,23950,▁probabil
20,9358,▁ep
21,20264,▁Гри
22,23103,▁всех
23,11789,rès
24,6719,▁°
25,31696,奈
26,30727,พ
27,8196,▁Februar
28,20972,▁Computer
29,21261,▁ly
30,11433,construct
31,29614,▁своих
32,5118,ён
33,16129,iry
34,5530,▁mai
35,28753,-.
36,685,turn
37,12358,tere
38,5379,Exec
39,28194,▁lorsque
40,1680,ower
41,17949,▁tête
42,1327,bb
43,8055,appa
44,13313,лта
45,1282,ча
46,24213,cej
47,18402,▁chaque
48,5220,▁fund
49,25314,▁traduc
50,12092,▁complicated
51,4935,)$.
52,9879,▁Kö
53,3374,▁Thank
54,41,<0x26>
55,16492,Question
56,25590,sil
57,19479,▁revolution
58,23195,okes
59,23143,lichkeit
60,11534,▁snippet
61,7540,▁meas
62,19277,▁але
63,25046,mate
64,19816,▁grund
65,22367,oned
66,11247,▁LO
67,29803,▁Мак
68,19697,▁intermediate
69,7700,▁False
70,20266,▁Под
71,20590,▁purchase
72,353,▁=
73,13843,▁Jr
74,2316,▁mil
75,27249,▁Cleveland
76,2428,▁super
77,14683,Definition
78,29871,▁
79,25718,▁profess
80,15661,▁attempting
81,27999,▁thereby
82,6486,endar
83,14716,plorer
84,29076,Machine
85,6668,▁blo
86,14341,▁momento
87,23450,nehmer
88,20618,▁albums
89,3520,▁necess
90,4082,▁alla
91,9222,ynomial
92,19638,▁carri
93,7763,▁vez
94,5090,торы
95,18029,iellement
96,28513,[_
97,15883,▁heads
98,13581,azu
99,27200,▁tradicional
100,18830,▁surrounding
101,14687,▁dropdown
102,21213,▁parsed
103,21897,uffle
104,27907,▁tierra
105,5721,dist
106,17027,бом
107,3236,▁course
108,30865,ല
109,4613,▁resp
110,17725,ionen
111,10714,▁dress
112,16268,дии
113,29563,▁tribe
114,9782,Mat
115,21813,environ
116,3188,base
117,23807,▁пун
118,30416,ư
119,19832,Mask
120,20360,▁Alternatively
121,10228,▁Chrome
122,21354,lined
123,30887,ェ
124,17820,▁strip
125,31805,ŝ
126,10569,▁laugh
127,17008,iendo
128,16347,wert
129,20272,arding
130,16502,▁EP
131,15797,Sk
132,5324,▁suo
133,14138,theory
134,31781,씨
135,25204,▁legit
136,10119,ockey
137,21535,▁prav
138,26274,▁Kurz
139,22043,WHERE
140,16635,рок
141,4546,▁Mo
142,13917,▁observations
143,4689,▁began
144,4073,▁Sie
145,8907,▁Institute
146,11790,▁Cond
147,1185,▁una
148,2478,cies
149,6697,▁кра
150,7862,iments
151,20882,žit
152,22331,encoding
153,27184,etry
154,10927,▁pse
155,12059,▁subt
156,18295,xmlns
157,27584,▁promises
158,12828,▁Mike
159,20705,чної
160,8737,anguages
161,13678,rar
162,16247,▁molto
163,5116,бли
164,27608,▁uninstall
165,30519,ŋ
166,10454,Now
167,24112,▁Vors
168,24646,▁ages
169,7420,lain
170,3094,SON
171,29917,и
172,28814,visibility
173,13938,lapse
174,10564,▁Official
175,8309,autor
176,24909,▁fans
177,31413,ू
178,22764,▁flying
179,22631,_{-
180,25791,▁Marvel
181,5074,Page
182,26848,▁illustrated
183,11761,▁controls
184,12048,▁Spec
185,29668,▁devi
186,23982,▁erfolgte
187,17573,▁repos
188,9713,anna
189,11264,▁Control
190,20863,▁Hem
191,3273,▁short
192,24007,▁Hä
193,26042,▁округа
194,27022,richtung
195,21979,Flag
196,12978,▁час
197,31012,ब
198,22152,▁cached
199,4018,rich
200,22881,ąd
201,9146,▁intended
202,1287,work
203,22785,▁ему
204,7830,pal
205,22937,▁literary
206,2167,tes
207,5279,▁currently
208,5863,anda
209,12820,ünst
210,24214,Zero
211,27632,▁semif
212,2358,▁wr
213,1163,▁differ
214,30385,ക
215,28572,▁Gand
216,4823,▁song
217,16235,▁defeated
218,5915,▁Cap
219,16910,▁општи
220,9466,ints
221,13792,▁zap
222,287,ed
223,1187,eta
224,14414,▁Archivlink
225,5685,▁flo
226,13074,▁нов
227,27745,▁demol
228,11354,▁Kore
229,5337,▁attack
230,6295,So
231,3586,ensch
232,2533,▁sum
233,7380,▁ни
234,9161,tu
235,16940,ěl
236,17026,▁Track
237,4214,ING
238,14442,agram
239,17846,▁sog
240,19264,life
241,462,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
242,1563,left
243,1638,▁org
244,12594,▁Circ
245,9109,▁safe
246,2722,ries
247,2770,omen
248,9582,▁є
249,23105,▁videa
250,31849,ក
251,17238,▁Tru
252,1860,ments
253,1154,frac
254,9407,itaire
255,1847,ling
256,19702,▁bru
257,24563,_*
258,14942,▁conqu
259,3314,apter
260,26851,▁convolution
261,20179,▁Johnny
262,17126,▁regardless
263,21683,▁Polski
264,11521,esti
265,15458,";"""
266,15852,Touch
267,22911,nas
268,22127,▁zag
269,18791,▁Encyclopedia
270,29095,▁principe
271,27193,castle
272,4077,hal
273,31602,葉
274,24447,wealth
275,7258,▁shared
276,7930,▁ép
277,11251,oral
278,18017,"]"""
279,26293,dienst
280,29375,aties
281,3755,▁quite
282,25780,▁Außer
283,20006,cgi
284,7907,▁après
285,4527,▁ener
286,17122,▁SSL
287,25344,će
288,1061,ator
289,26407,▁Anyone
290,24581,din
291,24703,▁Steven
292,12827,▁assignment
293,14026,nehmen
294,15214,єю
295,5842,enk
296,25875,▁chanson
297,25442,warn
298,16439,▁pipeline
299,7710,urity
300,13659,▁rapport
301,220,<0xD9>
302,15141,▁newly
