,id,vocab
0,63,否
1,125,だ
2,166,『
3,242,交
4,269,瀬
5,311,型
6,327,五
7,350,版
8,356,ら
9,425,玉
10,473,區
11,482,帝
12,494,法
13,499,或
14,525,永
15,540,♀
16,591,意
17,717,“
18,723,▁▁▁▁▁▁▁▁▁▁▁▁
19,751,？
20,880,形
21,920,解
22,939,最
23,972,奇
24,977,工
25,989,υ
26,1001,、
27,1016,▁│
28,1085,』
29,1133,商
30,1169,三
31,1194,候
32,1218,▁▁▁▁▁▁▁▁▁▁▁▁▁▁
33,1228,年
34,1254,而
35,1319,ひ
36,1332,園
37,1341,ピ
38,1376,彦
39,1405,才
40,1450,∑
41,1569,海
42,1572,清
43,1739,族
44,1785,理
45,1824,橋
46,1881,ケ
47,1882,────
48,1888,∥
49,1893,そ
50,1905,モ
51,1925,云
52,1945,¨
53,1954,す
54,1957,め
55,1971,じ
56,1992,言
57,2032,里
58,2065,武
59,2155,崎
60,2168,表
61,2169,Χ
62,2178,ろ
63,2241,ネ
64,2429,此
65,2480,中
66,2527,Η
67,2535,見
68,2570,朱
69,2596,古
70,2621,服
71,2623,魔
72,2634,曲
73,2640,ブ
74,2653,引
75,2720,番
76,2791,默
77,2866,串
78,2873,θ
79,2898,る
80,2948,く
81,2961,Ρ
82,2984,タ
83,3058,恋
84,3059,洞
85,3069,竹
86,3090,Β
87,3092,⊂
88,3113,ウ
89,3139,用
90,3170,点
91,3303,ギ
92,3327,真
93,3344,Θ
94,3500,除
95,3515,区
96,3524,希
97,3536,軍
98,3579,└
99,3645,ャ
100,3651,来
101,3724,ハ
102,3765,Σ
103,3825,吉
104,3846,王
105,3872,群
106,3920,Α
107,3965,ヨ
108,3995,景
109,4047,た
110,4113,无
111,4131,┐
112,4153,銀
113,4197,兵
114,4199,主
115,4212,″
116,4220,ず
117,4233,再
118,4237,少
119,4264,西
120,4343,息
121,4431,∇
122,4465,去
123,4593,湖
124,4631,分
125,4637,さ
126,4692,こ
127,4716,收
128,4758,都
129,4896,器
130,4985,心
131,5045,株
132,5048,で
133,5082,男
134,5102,▁’
135,5225,管
136,5248,校
137,5282,洲
138,5299,造
139,5349,編
140,5429,土
141,5436,根
142,5440,ま
143,5477,ユ
144,5545,取
145,5601,歌
146,5634,容
147,5635,九
148,5678,之
149,5698,台
150,5722,及
151,5808,技
152,5847,∀
153,5874,駅
154,5921,要
155,5923,▁×
156,5939,γ
157,5944,Ω
158,5954,ご
159,5986,足
160,6015,雄
161,6032,放
162,6035,千
163,6050,ほ
164,6059,う
165,6105,置
166,6113,段
167,6168,▁▁▁▁▁▁▁▁▁▁▁▁▁
168,6170,正
169,6189,▁▁▁▁▁
170,6238,よ
171,6257,ォ
172,6297,断
173,6313,格
174,6335,京
175,6336,♭
176,6395,被
177,6435,と
178,6448,Ο
179,6509,川
180,6619,包
181,6698,聖
182,6749,密
183,6883,物
184,6897,貴
185,6987,色
186,7028,重
187,7039,操
188,7057,必
189,7089,甲
190,7102,　
191,7110,ミ
192,7115,ザ
193,7125,国
194,7213,研
195,7252,像
196,7311,…
197,7326,っ
198,7335,多
199,7366,始
200,7376,不
201,7434,送
202,7440,ι
203,7534,看
204,7644,ち
205,7660,η
206,7666,ペ
207,7692,十
208,7713,》
209,7795,功
210,7852,ゴ
211,7898,⊆
212,7906,存
213,7918,双
214,7929,后
215,7931,起
216,7936,配
217,7939,址
218,8110,÷
219,8112,文
220,8189,ゃ
221,8325,▁##
222,8460,我
223,8497,”
224,8536,因
225,8550,會
226,8572,親
227,8645,在
228,8741,全
229,8764,拳
230,8813,長
231,8868,《
232,8901,房
233,8928,直
234,8952,弘
235,9102,家
236,9112,┴
237,9120,∨
238,9140,失
239,9207,せ
240,9221,ぐ
241,9225,チ
242,9263,望
243,9280,赤
244,9304,ω
245,9318,使
246,9322,▁“
247,9346,入
248,9400,信
249,9418,的
250,9513,外
251,9517,月
252,9538,：
253,9540,特
254,9542,李
255,9546,街
256,9554,助
257,9565,ν
258,9569,仁
259,9681,学
260,9695,▁▁▁▁▁▁▁
261,9723,内
262,9771,史
263,9807,ア
264,9829,λ
265,9851,━
266,9868,打
267,9935,池
268,9940,六
269,9982,店
270,10001,康
271,10002,σ
272,10053,天
273,10060,ξ
274,10064,舞
275,10119,部
276,10120,已
277,10137,次
278,10160,先
279,10168,車
280,10239,な
281,10252,む
282,10279,就
