,id,surface,pos,len
0,63,['否'],"['接続詞,*,*,*']",1
1,125,['だ'],"['助動詞,*,*,*']",1
2,166,['『'],"['記号,括弧開,*,*']",1
3,242,['交'],"['名詞,固有名詞,組織,*']",1
4,269,['瀬'],"['名詞,固有名詞,人名,姓']",1
5,311,['型'],"['名詞,一般,*,*']",1
6,327,['五'],"['名詞,数,*,*']",1
7,350,['版'],"['名詞,一般,*,*']",1
8,356,['ら'],"['名詞,一般,*,*']",1
9,425,['玉'],"['名詞,一般,*,*']",1
10,473,['區'],"['名詞,固有名詞,組織,*']",1
11,482,['帝'],"['名詞,一般,*,*']",1
12,494,['法'],"['名詞,一般,*,*']",1
13,499,['或'],"['連体詞,*,*,*']",1
14,525,['永'],"['名詞,固有名詞,人名,姓']",1
15,540,['♀'],"['名詞,サ変接続,*,*']",1
16,591,['意'],"['名詞,一般,*,*']",1
17,717,['“'],"['記号,括弧開,*,*']",1
18,723,['▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
19,751,['？'],"['記号,一般,*,*']",1
20,880,['形'],"['名詞,一般,*,*']",1
21,920,['解'],"['名詞,サ変接続,*,*']",1
22,939,['最'],"['接頭詞,名詞接続,*,*']",1
23,972,['奇'],"['名詞,一般,*,*']",1
24,977,['工'],"['名詞,一般,*,*']",1
25,989,['υ'],"['記号,アルファベット,*,*']",1
26,1001,['、'],"['記号,読点,*,*']",1
27,1016,['▁│'],"['名詞,サ変接続,*,*']",1
28,1085,['』'],"['記号,括弧閉,*,*']",1
29,1133,['商'],"['名詞,一般,*,*']",1
30,1169,['三'],"['名詞,数,*,*']",1
31,1194,['候'],"['名詞,一般,*,*']",1
32,1218,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
33,1228,['年'],"['名詞,一般,*,*']",1
34,1254,['而'],"['名詞,固有名詞,組織,*']",1
35,1319,['ひ'],"['動詞,自立,*,*']",1
36,1332,['園'],"['名詞,一般,*,*']",1
37,1341,['ピ'],"['名詞,固有名詞,組織,*']",1
38,1376,['彦'],"['名詞,固有名詞,組織,*']",1
39,1405,['才'],"['名詞,一般,*,*']",1
40,1450,['∑'],"['名詞,サ変接続,*,*']",1
41,1569,['海'],"['名詞,一般,*,*']",1
42,1572,['清'],"['名詞,固有名詞,人名,名']",1
43,1739,['族'],"['名詞,一般,*,*']",1
44,1785,['理'],"['名詞,一般,*,*']",1
45,1824,['橋'],"['名詞,一般,*,*']",1
46,1881,['ケ'],"['名詞,固有名詞,組織,*']",1
47,1882,"['─', '─', '─', '─']","['記号,一般,*,*', '記号,一般,*,*', '記号,一般,*,*', '記号,一般,*,*']",4
48,1888,['∥'],"['名詞,サ変接続,*,*']",1
49,1893,['そ'],"['名詞,特殊,助動詞語幹,*']",1
50,1905,['モ'],"['名詞,固有名詞,組織,*']",1
51,1925,['云'],"['名詞,一般,*,*']",1
52,1945,['¨'],"['記号,一般,*,*']",1
53,1954,['す'],"['名詞,一般,*,*']",1
54,1957,['め'],"['名詞,一般,*,*']",1
55,1971,['じ'],"['助動詞,*,*,*']",1
56,1992,['言'],"['名詞,一般,*,*']",1
57,2032,['里'],"['名詞,一般,*,*']",1
58,2065,['武'],"['名詞,固有名詞,人名,姓']",1
59,2155,['崎'],"['名詞,一般,*,*']",1
60,2168,['表'],"['名詞,一般,*,*']",1
61,2169,['Χ'],"['記号,アルファベット,*,*']",1
62,2178,['ろ'],"['名詞,一般,*,*']",1
63,2241,['ネ'],"['助詞,終助詞,*,*']",1
64,2429,['此'],"['名詞,固有名詞,組織,*']",1
65,2480,['中'],"['名詞,一般,*,*']",1
66,2527,['Η'],"['記号,アルファベット,*,*']",1
67,2535,['見'],"['動詞,自立,*,*']",1
68,2570,['朱'],"['名詞,一般,*,*']",1
69,2596,['古'],"['形容詞,自立,*,*']",1
70,2621,['服'],"['名詞,一般,*,*']",1
71,2623,['魔'],"['名詞,一般,*,*']",1
72,2634,['曲'],"['名詞,一般,*,*']",1
73,2640,['ブ'],"['名詞,固有名詞,組織,*']",1
74,2653,['引'],"['名詞,固有名詞,組織,*']",1
75,2720,['番'],"['名詞,一般,*,*']",1
76,2791,['默'],"['名詞,固有名詞,組織,*']",1
77,2866,['串'],"['名詞,一般,*,*']",1
78,2873,['θ'],"['記号,アルファベット,*,*']",1
79,2898,['る'],"['助動詞,*,*,*']",1
80,2948,['く'],"['形容詞,自立,*,*']",1
81,2961,['Ρ'],"['記号,アルファベット,*,*']",1
82,2984,['タ'],"['名詞,固有名詞,組織,*']",1
83,3058,['恋'],"['名詞,一般,*,*']",1
84,3059,['洞'],"['名詞,一般,*,*']",1
85,3069,['竹'],"['名詞,一般,*,*']",1
86,3090,['Β'],"['記号,アルファベット,*,*']",1
87,3092,['⊂'],"['名詞,サ変接続,*,*']",1
88,3113,['ウ'],"['名詞,固有名詞,組織,*']",1
89,3139,['用'],"['名詞,一般,*,*']",1
90,3170,['点'],"['名詞,一般,*,*']",1
91,3303,['ギ'],"['名詞,固有名詞,組織,*']",1
92,3327,['真'],"['名詞,一般,*,*']",1
93,3344,['Θ'],"['記号,アルファベット,*,*']",1
94,3500,['除'],"['名詞,サ変接続,*,*']",1
95,3515,['区'],"['名詞,一般,*,*']",1
96,3524,['希'],"['名詞,形容動詞語幹,*,*']",1
97,3536,['軍'],"['名詞,一般,*,*']",1
98,3579,['└'],"['名詞,サ変接続,*,*']",1
99,3645,['ャ'],"['名詞,固有名詞,組織,*']",1
100,3651,['来'],"['動詞,自立,*,*']",1
101,3724,['ハ'],"['名詞,固有名詞,組織,*']",1
102,3765,['Σ'],"['記号,アルファベット,*,*']",1
103,3825,['吉'],"['名詞,固有名詞,人名,姓']",1
104,3846,['王'],"['名詞,固有名詞,人名,姓']",1
105,3872,['群'],"['名詞,一般,*,*']",1
106,3920,['Α'],"['記号,アルファベット,*,*']",1
107,3965,['ヨ'],"['名詞,固有名詞,組織,*']",1
108,3995,['景'],"['名詞,一般,*,*']",1
109,4047,['た'],"['助動詞,*,*,*']",1
110,4113,['无'],"['名詞,固有名詞,組織,*']",1
111,4131,['┐'],"['名詞,サ変接続,*,*']",1
112,4153,['銀'],"['名詞,一般,*,*']",1
113,4197,['兵'],"['名詞,一般,*,*']",1
114,4199,['主'],"['名詞,一般,*,*']",1
115,4212,['″'],"['名詞,サ変接続,*,*']",1
116,4220,['ず'],"['助動詞,*,*,*']",1
117,4233,['再'],"['接頭詞,名詞接続,*,*']",1
118,4237,['少'],"['形容詞,自立,*,*']",1
