,id,vocab
0,15073,望む
1,38559,project
2,9932,を置いて
3,26160,ほっこり
4,9705,ライス
5,16975,関係なく
6,1616,雪
7,39659,国分寺
8,17176,彼を
9,39080,スコット
10,21520,もあるのです
11,17645,だけだった
12,27176,かわかりません
13,12333,零
14,10902,るのも
15,33150,仕舞
16,10715,狩り
17,16098,兵庫
18,19141,わからず
19,32972,破り
20,41202,椎茸
21,13522,におい
22,42635,をターゲットに
23,43818,一段落
24,9410,吸
25,21322,収録曲
26,6550,お手入れ
27,32900,ぷら
28,6160,帽子
29,35172,なっていない
30,46915,"゚・:,。"
31,20945,vis
32,47032,ご注文確定後
33,44990,理由の一つ
34,8417,変形
35,1582,しっかり
36,29059,収納できる
37,35472,ダンパー
38,5760,稲
39,1677,低
40,25288,常連
41,48310,沈んだ
42,45823,表に出
43,22908,くれたら
44,38353,MIC
45,8321,あげて
46,38540,に入ら
47,19735,扶養
48,15809,国王
49,35039,形成された
50,45391,バッド
51,31340,呆
52,30861,コカ
53,40766,寝台
54,6358,▁それでは
55,31252,らしくて
56,1947,なのです
57,21487,日以降
58,5952,ことだ
59,46747,春日部
60,3550,▁U
61,47258,アフタヌーンティー
62,33602,販売台数
63,9664,ミュー
64,16459,死んで
65,11340,憧れ
66,29170,見えている
67,31117,las
68,42902,判断基準
69,43407,ほぐす
70,38,<0x1F>
71,48705,キックオフ
72,20276,代引
73,49809,が制限され
74,38278,を選択した
75,26602,から離れ
76,1020,ると
77,2783,戦略
78,38463,お任せください
79,39235,いいなあ
80,33516,ized
81,24202,カキ
82,47846,特筆すべき
83,2056,アルバム
84,30780,ウォーターサーバー
85,9272,顔で
86,17669,のニーズ
87,5462,新幹線
88,19337,をとった
89,30132,平米
90,31795,長くなる
91,50845,💗
92,16542,扇
93,37890,分からないこと
94,51045,咀
95,21975,一式
96,27974,コーナーで
97,43371,を意味し
98,7263,予選
99,33104,埋込
100,49833,Royal
101,38741,ポルト
102,13898,と思いながら
103,36137,を深める
104,6132,AR
105,27883,を拝見
106,9833,強力
107,23554,mac
108,3436,待ち
109,26452,芦
110,12474,ポー
111,28312,どのくらいの
112,29505,を好む
113,31896,に適
114,33324,種々の
115,13084,助かります
116,33772,乗り場
117,39826,意地悪
118,12731,ニュ
119,17972,よほど
120,48777,末梢
121,30969,に対応して
122,14157,レディ
123,38094,ってなる
124,13004,近年
125,25074,サイトから
126,400,|
127,17514,長い間
128,30614,いれる
129,13931,辞め
130,27980,tory
131,886,Z
132,21146,——
133,36037,だったらしい
134,11020,料金が
135,9575,記念日
136,28555,ship
137,6313,ぴ
138,6761,劣化
139,7677,▁明日
140,20282,能力を
141,28916,骨董品
142,726,購入
143,5893,になるので
144,6570,駆動
145,13736,知られている
146,13952,機の
147,26084,(^^
148,2945,合わせ
149,5488,≫
150,10363,俺たち
151,28834,ご連絡下さい
152,32689,出ていない
153,15671,にぴったり
154,12754,言葉は
155,26313,uro
156,6301,▁費用
157,35520,食べてる
158,17668,▁朝食
159,12977,を開発
160,29215,にも使える
161,33518,もあるけど
162,27369,が含まれる
163,16126,夫が
164,34931,はどれも
165,15609,と思いますか
166,36168,させてもらった
167,43262,静止画
168,8973,シング
169,9716,ct
170,42392,榎
171,44128,なって思います
172,44396,教習
173,1087,中の
174,33454,好きになった
175,45734,商品につきまして
176,8881,があること
177,48053,気持ちよさ
178,37855,も考えられます
179,5156,取って
180,24702,Port
181,41272,ろうとしている
182,38771,頼れる
183,46277,集荷
184,46342,板橋
185,32152,プラダ
186,49131,可能性は低い
187,38539,っぺ
188,6685,価
189,31167,人気の高い
190,16574,感染者
191,12876,紹介する
192,26600,磐
193,41356,断熱材
194,7443,お子さん
195,8258,駒
196,8563,を迎える
197,32801,地味な
198,42981,すくい
199,44316,地酒
200,17312,開発した
201,27285,お届けします
202,32017,分ほどで
203,40327,宇宙人
204,50959,曼
205,956,文
206,14655,指揮
207,7067,ge
208,35772,快適です
209,4395,クリーニング
210,38369,▁ましてや
211,36021,に所属する
212,44908,吸水性
213,42517,約定
214,20570,言えません
215,26383,毎度
216,43560,▁Beach
217,37066,蹄
218,27829,この時期に
219,705,所
220,6506,以内
221,19107,原宿
222,41743,トロフィー
223,10556,安全な
224,17500,ダイヤル
