,id,surface,pos,len
0,0,['斉'],"['名詞,固有名詞,人名,名']",1
1,1,"['各地', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
2,2,['当該'],"['名詞,一般,*,*']",1
3,3,"['作品', 'が']","['名詞,一般,*,*', '助詞,格助詞,一般,*']",2
4,4,['機内'],"['名詞,一般,*,*']",1
5,5,"['お', '値打ち']","['接頭詞,名詞接続,*,*', '名詞,一般,*,*']",2
6,6,['名目'],"['名詞,一般,*,*']",1
7,7,['香川'],"['名詞,固有名詞,地域,一般']",1
8,8,['現在'],"['名詞,副詞可能,*,*']",1
9,9,"['を', '作成', 'し', 'ます']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*', '助動詞,*,*,*']",4
10,10,"['日', '程度']","['名詞,固有名詞,地域,国', '名詞,接尾,一般,*']",2
11,11,"['分', 'ほど']","['名詞,サ変接続,*,*', '助詞,副助詞,*,*']",2
12,12,['ニューヨーク'],"['名詞,固有名詞,地域,一般']",1
13,13,['マグカップ'],"['名詞,固有名詞,組織,*']",1
14,14,"['体内', 'に']","['名詞,一般,*,*', '助詞,格助詞,一般,*']",2
15,15,"['▁', 'この', '日', 'の']","['名詞,サ変接続,*,*', '連体詞,*,*,*', '名詞,非自立,副詞可能,*', '助詞,連体化,*,*']",4
16,16,['半島'],"['名詞,一般,*,*']",1
17,18,['自体'],"['名詞,一般,*,*']",1
18,19,['同年'],"['名詞,副詞可能,*,*']",1
19,20,"['ペット', '用品']","['名詞,一般,*,*', '名詞,一般,*,*']",2
20,21,"['どん', 'だけ']","['名詞,一般,*,*', '助詞,副助詞,*,*']",2
21,22,"['ノート', 'パソコン']","['名詞,一般,*,*', '名詞,一般,*,*']",2
22,23,['増殖'],"['名詞,サ変接続,*,*']",1
23,24,"['に', 'なり', 'やすい']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '形容詞,非自立,*,*']",3
24,26,"['の', '臭い']","['助詞,格助詞,一般,*', '形容詞,自立,*,*']",2
25,28,"['声', 'か', 'け']","['名詞,一般,*,*', '助詞,副助詞／並立助詞／終助詞,*,*', '助詞,終助詞,*,*']",3
26,29,"['他', 'の', '人', 'に']","['名詞,一般,*,*', '助詞,連体化,*,*', '名詞,一般,*,*', '助詞,格助詞,一般,*']",4
27,30,"['ご', '理解', 'ください']","['接頭詞,名詞接続,*,*', '名詞,サ変接続,*,*', '動詞,非自立,*,*']",3
28,31,"['▁', 'それで']","['名詞,サ変接続,*,*', '接続詞,*,*,*']",2
29,33,"['食べ', 'られ', 'ます']","['動詞,自立,*,*', '動詞,接尾,*,*', '助動詞,*,*,*']",3
30,34,['ステア'],"['名詞,固有名詞,組織,*']",1
31,35,['キャバ'],"['名詞,固有名詞,組織,*']",1
