,id,vocab
0,0,<unk>
1,1,<s>
2,2,</s>
3,3,<mask>
4,4,<pad>
5,5,<CLS>
6,6,<SEP>
7,7,<EOD>
8,8,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
9,9,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
10,10,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
11,11,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
12,12,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
13,13,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
14,14,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
15,15,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
16,16,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
17,17,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
18,18,▁▁▁▁▁▁▁▁▁▁▁▁▁▁
19,19,▁▁▁▁▁▁▁▁▁▁▁▁▁
20,20,▁▁▁▁▁▁▁▁▁▁▁▁
21,21,▁▁▁▁▁▁▁▁▁▁▁
22,22,▁▁▁▁▁▁▁▁▁▁
23,23,▁▁▁▁▁▁▁▁▁
24,24,▁▁▁▁▁▁▁▁
25,25,▁▁▁▁▁▁▁
26,26,▁▁▁▁▁▁
27,27,▁▁▁▁▁
28,28,▁▁▁▁
29,29,▁▁▁
30,30,▁▁
31,31,▁
32,32,"
"
33,33,<0x00>
34,34,<0x01>
35,35,<0x02>
36,36,<0x03>
37,37,<0x04>
38,38,<0x05>
39,39,<0x06>
40,40,<0x07>
41,41,<0x08>
42,42,<0x09>
43,43,<0x0A>
44,44,<0x0B>
45,45,<0x0C>
46,46,<0x0D>
47,47,<0x0E>
48,48,<0x0F>
49,49,<0x10>
50,50,<0x11>
51,51,<0x12>
52,52,<0x13>
53,53,<0x14>
54,54,<0x15>
55,55,<0x16>
56,56,<0x17>
57,57,<0x18>
58,58,<0x19>
59,59,<0x1A>
60,60,<0x1B>
61,61,<0x1C>
62,62,<0x1D>
63,63,<0x1E>
64,64,<0x1F>
65,65,<0x20>
66,66,<0x21>
67,67,<0x22>
68,68,<0x23>
69,69,<0x24>
70,70,<0x25>
71,71,<0x26>
72,72,<0x27>
73,73,<0x28>
74,74,<0x29>
