,id,vocab
0,8,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
1,9,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
2,10,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
3,11,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
4,12,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
5,13,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
6,14,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
7,15,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
8,16,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
9,17,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
10,18,▁▁▁▁▁▁▁▁▁▁▁▁▁▁
11,19,▁▁▁▁▁▁▁▁▁▁▁▁▁
12,20,▁▁▁▁▁▁▁▁▁▁▁▁
13,21,▁▁▁▁▁▁▁▁▁▁▁
14,22,▁▁▁▁▁▁▁▁▁▁
15,23,▁▁▁▁▁▁▁▁▁
16,24,▁▁▁▁▁▁▁▁
17,25,▁▁▁▁▁▁▁
18,26,▁▁▁▁▁▁
19,27,▁▁▁▁▁
20,28,▁▁▁▁
21,29,▁▁▁
22,30,▁▁
23,31,▁
24,10007,#
25,11724,の
26,13088,的
27,13222,に
28,13931,ー
29,13986,は
30,14250,を
31,14605,が
32,14784,い
33,14849,で
34,15291,と
35,15494,な
36,15735,ン
37,16246,る
38,16982,れ
39,16993,し
40,17291,た
41,17397,一
42,18279,ス
43,18342,も
44,18535,か
45,18874,り
46,18990,う
47,19090,ト
48,19293,ま
49,19312,中
50,19485,イ
51,19907,是
52,19946,人
53,20096,さ
54,20128,用
55,20137,て
56,20148,ん
57,20409,ル
58,20885,大
59,21079,く
60,21146,あ
61,21169,き
62,21186,こ
63,21321,在
64,21465,ク
65,21578,だ
66,21594,ら
67,21713,ッ
68,21811,有
69,21886,不
70,22129,よ
71,22204,リ
72,22242,ラ
73,22387,我
74,22485,する
75,22545,数
76,22556,した
77,22558,そ
78,22717,上
79,22815,して
80,22845,ア
81,22944,日
82,22995,行
83,23110,以
84,23300,本
85,23393,个
86,23405,年
87,23444,ます
88,24202,ない
89,24217,って
90,24248,った
91,24573,こと
92,24850,です
93,24897,ている
94,25375,す
95,25376,っ
96,25379,・
97,25386,：
98,25397,″
99,25409,¨
100,25442,（
101,25444,）
102,25445,「
103,25446,」
104,25479,φ
105,25500,─
106,25507,χ
107,25513,Δ
108,25525,θ
109,25534,→
110,25538,´
111,25549,ω
112,25556,′
113,25557,，
114,25558,δ
115,25571,γ
116,25572,¶
117,25584,λ
118,25586,υ
119,25587,、
120,25590,。
121,25592,†
122,25594,η
123,25598,β
124,25599,κ
125,25603,π
126,25609,‐
127,25612,ρ
128,25614,σ
129,25626,×
130,25630,ν
131,25631,ι
132,25633,ε
133,25635,μ
134,25637,§
135,25638,ο
136,25640,τ
137,25645,…
138,25646,±
139,25647,°
140,25650,‘
141,25655,α
142,25673,”
143,25675,“
144,25678,’
145,25680,月
146,25681,いる
147,25682,から
148,25683,ある
149,25684,や
150,25685,として
151,25686,なっ
152,25687,など
153,25688,よう
154,25689,あり
155,25690,まし
156,25691,この
157,25692,という
158,25693,お
159,25694,第
160,25695,日本
161,25696,れる
162,25697,市
163,25698,ため
164,25699,その
165,25700,者
166,25701,なる
167,25702,ので
168,25703,県
169,25704,まで
170,25705,へ
171,25706,もの
172,25707,ば
173,25708,あっ
174,25709,時
175,25710,後
176,25711,られ
177,25712,ね
178,25713,なり
179,25714,また
180,25715,ませ
181,25716,駅
182,25717,さん
183,25718,より
184,25719,なく
185,25720,わ
186,25721,これ
187,25722,でき
188,25723,ご
189,25724,町
190,25725,子
191,25726,方
192,25727,できる
193,25728,家
194,25729,おり
195,25730,回
196,25731,場合
197,25732,１
198,25733,円
199,25734,前
200,25735,たい
201,25736,私
202,25737,だっ
203,25738,それ
204,25739,だけ
205,25740,ず
206,25741,会
207,25742,について
208,25743,なら
209,25744,見
210,25745,性
211,25746,新
212,25747,せ
213,25748,分
214,25749,人物
215,25750,東京
216,25751,でも
217,25752,時間
218,25753,思い
219,25754,二
220,25755,号
221,25756,により
222,25757,山
223,25758,部
224,25759,目
225,25760,によって
226,25761,２
227,25762,なかっ
228,25763,による
229,25764,化
230,25765,たら
231,25766,名
232,25767,そう
233,25768,話
234,25769,使用
235,25770,情報
236,25771,自分
237,25772,０
238,25773,たり
