,id,surface,pos,len
0,8,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
1,9,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
2,10,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
3,11,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
4,12,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
5,13,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
6,14,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
7,15,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
8,16,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
9,17,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
10,18,['▁▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
11,19,['▁▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
12,20,['▁▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
13,21,['▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
14,22,['▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
15,23,['▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
16,24,['▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
17,25,['▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
18,26,['▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
19,27,['▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
20,28,['▁▁▁▁'],"['名詞,サ変接続,*,*']",1
21,29,['▁▁▁'],"['名詞,サ変接続,*,*']",1
22,30,['▁▁'],"['名詞,サ変接続,*,*']",1
23,31,['▁'],"['名詞,サ変接続,*,*']",1
24,10007,['#'],"['名詞,サ変接続,*,*']",1
25,11724,['の'],"['助詞,連体化,*,*']",1
26,13088,['的'],"['名詞,接尾,形容動詞語幹,*']",1
27,13222,['に'],"['助詞,格助詞,一般,*']",1
28,13931,['ー'],"['名詞,固有名詞,組織,*']",1
29,13986,['は'],"['助詞,係助詞,*,*']",1
30,14250,['を'],"['助詞,格助詞,一般,*']",1
31,14605,['が'],"['接続詞,*,*,*']",1
32,14784,['い'],"['動詞,自立,*,*']",1
33,14849,['で'],"['接続詞,*,*,*']",1
34,15291,['と'],"['フィラー,*,*,*']",1
35,15494,['な'],"['助詞,終助詞,*,*']",1
36,15735,['ン'],"['名詞,固有名詞,組織,*']",1
37,16246,['る'],"['助動詞,*,*,*']",1
38,16982,['れ'],"['動詞,接尾,*,*']",1
39,16993,['し'],"['動詞,自立,*,*']",1
40,17291,['た'],"['助動詞,*,*,*']",1
41,17397,['一'],"['名詞,数,*,*']",1
42,18279,['ス'],"['名詞,固有名詞,組織,*']",1
43,18342,['も'],"['助詞,係助詞,*,*']",1
