,id,vocab
0,8309,enu
1,14578,Ġbreathing
2,37095,ĠIng
3,30918,ĠCommunication
4,9131,before
5,1336,ters
6,27244,048
7,3091,Ġshall
8,14374,Ġindivid
9,10793,Ġwhenever
10,734,Ġinter
11,22369,immer
12,27883,Ġdispatch
13,37751,Ġleptin
14,45943,ĠRetail
15,13589,ente
16,13702,Ġdreams
17,23100,364
18,39763,Ġmultiplying
19,43937,eba
20,29381,Ġintric
21,19915,Ġcoordination
22,11813,Ġtheories
23,18708,ĠIslands
24,19588,Ġimplicated
25,11614,Ġ86
26,28741,Ġintestine
27,29249,907
28,40085,0029
29,1098,Ġstat
30,21848,due
31,33382,won
32,25364,Ġsubdivision
33,45612,Ġechocardiography
34,34729,Ġimmersion
35,17296,xb
36,14938,Ġregret
37,38154,Shadow
38,5253,Ġglass
39,5425,ifier
40,6535,md
41,12871,Bit
42,37105,Ġsandwiches
43,17314,ĠRap
44,3355,ades
45,31445,Ġadjustable
46,48984,Ġaffirming
47,3168,Ġwhite
48,45388,anova
49,32006,472
50,34813,|_{\
51,25059,isha
52,33467,Adam
53,1847,ĠPl
54,27908,Ġflap
55,14080,Ġmicroscopy
56,20342,Ġpackets
57,28143,ĠDD
58,44458,dling
59,5169,eria
60,15774,Â¡
61,8261,Ġokay
62,41986,ë§
63,17867,osures
64,3747,ĠAug
65,5270,ĠTable
66,7555,del
67,15078,Ġ''
68,22259,virtual
69,18258,Ġtumour
70,33798,Pier
71,44329,OBJ
72,10764,Ġshares
73,13808,edu
74,23398,WC
75,29669,Ġ287
76,12102,Ġparking
77,47280,ĠFunk
78,22084,wi
79,8277,ĠÐ¼
80,9642,sequently
81,32673,}}^{(
82,39534,anese
83,229,Ĵ
84,31584,Ġmainland
85,16981,čč
86,1129,Ġmed
87,26671,Ġexpenditure
88,41755,Ġmigraine
89,9877,zi
90,44684,feit
91,20635,ĠNam
92,19246,Ġflowing
93,45661,Ġpinpoint
94,17114,Ġdishes
95,23935,Ġadul
96,42508,Ġexceedingly
97,1604,Ġadv
98,8735,oston
99,35605,Ġbiologically
100,5653,False
101,24583,youtube
102,38447,620
103,47942,^*(\
104,1775,Ġsam
105,22460,ĠTypically
106,5658,you
107,11792,Ġsteady
108,28347,Ġshred
109,32550,ĠProphet
110,26175,cool
111,32657,;;;;
112,33195,angled
113,3106,inks
114,7904,Ġ46
115,34310,Ġoverruled
116,41924,:{
117,20077,Ġsubsets
118,13407,Ġsystemic
119,7520,Ġrare
120,8882,context
121,7074,Ġbatter
122,19209,price
123,20633,Ġbp
124,24105,ĠEdge
125,25290,Ġfs
126,31049,ĠSolomon
127,4966,ATE
128,2508,Ġdetail
129,13119,ĠCreate
130,20860,ĠEquation
131,32974,ĠDevil
132,34763,Ġmyeloid
133,3589,Ġwasn
134,29512,Ġrenders
135,16240,ington
136,14051,Ġprobable
137,995,""","
138,15743,POST
139,18720,agine
140,10806,Ġconstraints
141,17665,à¥į
142,20969,events
143,33395,Ġseventeen
144,31603,ĠCrist
145,35223,Ġsap
146,23355,Ġunm
147,37061,ĠRCC
148,28804,Ġ231
149,20241,çİ
150,910,){
151,6108,Ġleaving
152,30982,ĠBax
153,39867,ÅĤo
154,47665,Ġalanine
155,23512,Ġ185
156,47576,Pierre
157,11738,ÄĽ
158,31647,Ġdenies
159,40934,ĠRash
160,5702,Ġprofessional
161,25378,Ùī
162,44253,Ġjuices
163,2159,Ġshort
164,4326,Ġsubstant
165,4506,Ġexerc
166,11824,)_
167,14793,Ġtimely
168,14912,ĠDiego
169,17978,ĠÐ»
170,41011,destination
171,16380,BF
172,20488,ĠÐ²Ñĭ
173,32723,Ġ---------------------------
174,45222,ideal
175,7494,Ġdispl
176,17409,Ġgym
177,36201,ĠÃģ
178,39318,ĊÂłÂł
179,31002,Ġideological
180,7523,war
181,30313,ĠDistribution
182,43016,ĠHof
183,26866,Ġsaves
184,8077,Ġsimpl
185,48309,uca
186,16938,Ġmoder
187,2189,side
188,20827,çľ
189,6015,Ġrepeated
190,40752,Ġstratification
191,32392,ĠPlayers
192,44471,ĠJA
193,21915,Ġobjections
194,25858,vie
195,29331,Ġlambda
196,35054,Ġmemb
197,30383,ĠOpera
198,13578,claimed
199,22256,(@
200,30875,perhaps
201,37508,opters
202,38615,Ġbarbar
203,25720,Ġfeasibility
204,46236,NORM
205,30364,Ġparamet
206,31562,Ġrecalls
207,17026,ĠOak
208,1795,Ġbro
209,19897,ĠDeputy
210,21799,Ġah
211,29202,Ġmins
212,47530,fellow
213,24306,Fields
214,263,or
215,2878,ilt
216,19630,293
217,43918,ĠfMRI
218,2958,Ġpubl
219,6542,Array
220,22472,Ġexon
221,9875,scape
222,11478,Bo
223,270,Ġb
224,41912,Ġtightened
225,2133,Ġbody
226,36968,Ġresisted
227,39984,ãģĿãĤĮ
228,32083,Ġgroom
229,38516,Ġ376
230,17374,Ġfoo
231,33315,ĠGreens
232,16020,Ġbuttons
233,133,É
234,31295,onectin
235,8673,iological
236,1899,Ġposition
237,40142,OMN
238,6369,NT
239,5882,Ġfirm
240,8191,Ġinformed
241,29597,ìĦ
242,6586,Image
243,30533,ĠOw
244,34462,KI
245,48771,ĠBangkok
246,37475,Ġeighteenth
247,46156,Ġhailed
248,30603,ĠSDL
249,31845,Ġstrengthening
250,31312,later
251,34110,Ġcoral
252,24508,election
253,38755,dos
254,21104,urban
255,43427,Ġendothelium
256,7960,Ġmerely
257,9707,THE
258,26204,against
259,33666,Ġgluten
260,43953,alli
261,42958,ĠHandbook
262,46988,etimes
263,8694,ĠProte
264,15708,Ġcollision
265,38652,propyl
266,30337,:`
267,40006,Ġaggregated
268,41359,Respond
269,22859,erral
270,4237,EX
271,46780,Zoom
272,13285,Tool
273,34336,ĠZh
274,7641,ĠBill
275,15293,TI
276,34621,ĠSurgery
277,34736,Ġhydrocarbon
278,23326,ĠHilbert
279,24036,ĠÏĮ
280,40582,Production
281,39017,CTT
282,10790,unsigned
283,34253,Ġaids
284,35926,Ġmah
285,4407,ĠÐ²
286,9209,Ġincred
287,6284,Ġinterests
288,21379,Ġgases
289,8379,Ġsuccessfully
290,28227,Ġartwork
291,41017,ĠQuite
292,21894,ĠVa
293,42997,Ġplains
294,49231,ĠShelby
295,1407,Ġed
296,32774,ĠProcessing
297,31024,aspx
298,32787,ĠAhmed
299,33311,Ġ319
300,2951,ĠSte
301,17120,Ġswimming
302,29791,Ġmaturity
303,41072,Ġcooker
304,28594,Ġmarble
305,35216,663
306,46103,sensor
307,35675,Ġperic
308,43664,ĠLemmon
309,8564,Ġimagine
310,11179,Ġvessel
311,11037,Ġlob
312,4534,vis
313,5392,wid
314,14443,Ġmotif
315,25536,Ġunited
316,27125,Ġbeats
317,29012,occo
318,7231,Ġreligious
319,18476,Ġcurrents
320,17644,ĠKom
321,5779,ĠPost
322,19403,Ġretrospective
323,40209,Ġtresp
324,42168,ĠCMV
325,25810,Micro
326,35733,Ġurges
327,48157,Movie
328,49406,ĠÃ®nt
329,46965,Ġantifer
330,13748,ãĢĮ
331,5981,Ġformat
332,2153,oney
333,24849,Ġnotebook
334,9641,inical
335,23341,din
336,47311,ambo
337,45067,schen
338,3773,Ġplayers
339,13833,Ġobesity
340,22697,reflect
341,31944,Ġcourty
342,11357,Ġ**(
343,33062,ĠApplying
344,47436,Ġpitchers
345,22485,Ġpacking
346,2131,ister
347,1353,'m
348,8425,scrib
349,24627,Ġhammer
350,26222,Ġhomogen
351,45362,CMS
352,21496,Ġembedding
353,24603,ĠProc
354,24787,tons
355,42998,Ġ483
356,41855,×§
357,12010,ĠPhot
358,23022,ĠÃĺ
359,43650,Ġincompetent
360,47433,ĠDee
361,17844,Ġstraw
362,36995,etin
363,3731,Ġmis
364,31017,usement
365,35120,Ġimmunoglob
