,id,surface,pos,len
0,715,['#####'],"['名詞,サ変接続,*,*']",1
1,3509,['±'],"['名詞,サ変接続,*,*']",1
2,6008,['########'],"['名詞,サ変接続,*,*']",1
3,7673,['¶'],"['名詞,サ変接続,*,*']",1
4,11967,['´'],"['記号,一般,*,*']",1
5,12716,['######'],"['名詞,サ変接続,*,*']",1
6,16921,"['×', '§']","['記号,一般,*,*', '名詞,サ変接続,*,*']",2
7,24474,['§'],"['名詞,サ変接続,*,*']",1
8,25944,['°'],"['名詞,サ変接続,*,*']",1
9,31458,['¨'],"['記号,一般,*,*']",1
10,32249,['################################'],"['名詞,サ変接続,*,*']",1
11,35826,['####'],"['名詞,サ変接続,*,*']",1
12,38635,['##'],"['名詞,サ変接続,*,*']",1
13,38749,['################'],"['名詞,サ変接続,*,*']",1
14,41518,"['×', '¨']","['記号,一般,*,*', '記号,一般,*,*']",2
15,42875,['×'],"['記号,一般,*,*']",1
16,48441,['#'],"['名詞,サ変接続,*,*']",1
17,50266,['###'],"['名詞,サ変接続,*,*']",1
