,id,vocab
0,9207,settings
1,13282,世紀に
2,41598,사
3,10409,正義
4,28357,kɔ
5,16631,determined
6,60707,晶文社
7,17808,劣
8,13751,NK
9,53482,攘夷
10,55152,RuntimeException
11,56049,Recogniz
12,26483,戯
13,56177,Bedfordshire
14,59239,天平宝字
15,49759,Fru
16,5507,Tor
17,63667,瘻
18,41543,ի
19,62732,稟
20,54487,義兄
21,50435,首謀者
22,5894,秋田
23,58681,Habib
24,36771,住民が
25,16964,西区
26,62436,嶼
27,2034,lies
28,55426,Illustration
29,5757,全体
30,9895,なかったため
31,43485,祥伝社
32,33906,確認できる
33,35751,劇作家
34,31964,Magdalen
35,30802,Hawaiian
36,61211,atmospheric
37,41248,ミズーリ州
38,20257,変異
39,21499,捉え
40,54396,ダーン
41,26966,concentration
42,9240,squad
43,17600,Sep
44,33469,に指定され
45,63963,鑫
46,7442,Est
47,61397,Diagram
48,10615,逮捕
49,24803,Marvel
50,2508,毛
51,40765,HBC
52,41845,売場
53,30739,wig
54,47601,ベストナイン
55,48938,大学卒業
56,6326,noted
57,19022,区画
58,13407,Ot
59,17592,ła
60,8792,負
61,41341,پ
62,42097,世界中
63,24060,本物の
64,37945,なれ
65,55224,おまえ
66,50843,流量
67,16912,が好き
68,47006,正平
69,15019,Pir
70,20170,の出演
71,24232,拷問
72,47329,とその周辺
73,63776,糜
74,12764,Esp
75,51775,GROUND
76,18321,窪
77,31519,デュエル
78,39532,配当
79,16969,Obj
80,44426,捨てた
81,8891,比較
82,43178,トレードマーク
83,64002,չ
84,39992,事となった
85,12704,に編入
86,18037,建造物
87,47024,Basti
88,42669,uwa
89,20806,inaugural
90,11286,まった
91,34143,matsu
92,41159,翔子
93,63729,덕
94,25999,メンテナンス
95,20993,volleyball
96,36645,ロジ
97,334,'
98,14268,期に
99,39137,回衆議院議員総選挙に
100,53343,喩
101,1684,level
102,10106,アマチュア
103,47220,ジェイミー
104,12377,weather
105,57934,realistic
106,9831,リトル
107,47502,示される
108,2035,なかった
109,59721,万枚を売り上げ
110,58392,衛兵
111,43551,武道館
112,23818,Honda
113,30489,を導入した
114,8143,空中
115,15218,singing
116,20044,ダール
117,5036,提供
118,35449,国立大学
119,36330,holders
120,48410,おやじ
121,61000,カートゥーン
122,35106,虐
123,59707,drained
124,43115,足りない
125,55428,さかのぼ
126,54532,女子ダブルス
127,25293,ヒューマン
128,55431,ゴキブリ
129,18456,に掲載
130,20050,rup
131,36261,と思われ
132,33651,する計画
133,33095,発進
134,34476,特記
135,34159,を自ら
136,28361,liberal
137,30400,トリノ
138,47888,Rhineland
139,53786,オンラインゲーム
140,56633,サンアントニオ
141,8053,boy
142,36416,Cai
143,29761,すみれ
144,35358,Testing
145,52263,ことを知って
146,62924,亙
147,938,音楽
148,27022,この映画
149,44135,琉
150,35507,一致する
