,id,vocab
0,1,権力
1,2,と推定されている
2,5,真奈美
3,6,青い鳥
4,8,ブレイ
5,9,一色
6,10,式の
7,11,ヨー
8,12,を除けば
9,13,暴
10,14,劇中歌
11,18,西暦
12,24,学級
13,26,作り
14,29,装填
15,31,領地
16,33,ヲ
17,34,捕獲
18,35,をカバーする
19,37,特別番組
20,38,こととなり
21,43,汐留
22,46,艦上
23,47,前作の
24,48,皆川
25,49,チュラ
26,50,成人
27,54,脂質
28,58,曠
29,61,けんどう
30,62,レスラー
31,64,脂肪
32,65,ダン
33,66,川流域
34,67,流体
35,69,月の第
36,70,研究
37,72,講道館
38,73,おし
39,74,ミド
40,75,ギネス
41,77,車椅子
42,78,御家人
43,81,の流れ
44,82,ちちんぷいぷい
45,85,登場作品
46,86,を食べる
47,87,を聞く
48,88,大竹
49,90,から構成され
50,92,太字
51,93,一の
52,94,原則として
53,95,国立国会図書館
54,96,系
55,97,囮
56,99,尾張
57,100,三陸
58,102,田尻
59,104,知られ
60,105,雨
61,106,リカ
62,107,ワット
63,108,厨
64,109,ひがし
65,110,世界中の
66,111,番組内で
67,112,指輪
68,113,技
69,116,イエズス会
70,117,を確保し
71,118,周囲の
72,119,残されていた
73,120,メロ
74,122,優勢
75,123,麻痺
76,124,んざい
77,126,亘
78,127,矢作
79,128,奇
80,130,日程
81,131,萍
82,132,者である
83,137,二級
84,139,カリフォルニア大学
85,140,の形で
86,141,キャンペーン
87,142,に用いられた
88,143,ピカ
89,144,鈴鹿
90,146,りんご
91,148,例外的に
92,149,マウス
93,151,独唱
94,152,聴く
95,154,のか
96,159,程度
97,160,協力者
98,161,守谷
99,165,年以降
100,166,エヴァン
101,167,鵯
102,168,妨害
103,170,穏
104,171,年に発売された
105,172,開始した
106,174,の形
107,178,假
108,182,メイト
109,183,が悪い
110,184,精算
111,186,に強く
112,187,ロイ
113,189,かな
114,190,スカパー
115,192,ロンドンオリンピック
116,193,スタイル
117,194,架橋
118,196,を走る
119,197,ンは
120,200,メキシカン
121,201,河北省
122,202,新潟県
123,209,ブレーメン
124,211,矢島
125,212,を超えた
126,213,美穂
127,214,いちらん
128,215,ポニー
129,216,野党
130,218,対抗
131,220,ドラマ
132,222,の第
133,223,粛清
134,224,大学の
135,225,アスタ
136,226,辮
137,228,トカゲ
138,229,長谷部
139,230,切っ掛け
140,232,琳
141,233,と考えていた
142,234,や他の
143,236,売春
144,238,運行を開始した
145,240,ジャスティス
146,246,最高司令官
147,247,薫
148,248,卯
149,249,できる
150,250,将軍の
151,251,県民
152,253,西大寺
153,254,であろうと
154,255,遊牧民
155,256,諶
156,257,ビリ
157,258,ふじわら
158,259,阪急電鉄
159,261,小諸
160,262,笠原
161,264,高速化
162,265,俎
163,268,カレンダー
164,269,インターナショナル
165,271,京阪電気鉄道
166,275,絲
167,276,事により
168,277,主張
169,279,世俗
170,281,同一の
171,283,紹
172,284,セ
173,285,獅
174,286,爆発
175,289,箇条
176,290,有栖川
177,291,非常に
178,295,長門
179,298,寒川
180,300,消化
181,303,を名乗って
182,305,究極の
183,306,請
184,307,ーア
185,308,シノニム
186,309,大隊
187,310,デリバリー
188,311,建物
189,312,外野
190,313,跳
191,315,路面電車
192,316,な性格で
193,317,なべ
194,319,ヴァージニア
195,323,和解
196,324,松本
197,325,サンタ
198,328,代表取締役
199,329,」
200,330,ダイヤル
201,331,杜
202,332,朝鮮
203,333,ウェブ
204,336,のブランド
205,337,番街
206,338,奮戦
207,340,自体は
208,341,開幕戦
209,342,初期の
210,343,嫡子
211,345,曳航
212,346,込んできた
213,347,読んで
214,351,まどか
215,352,白井
216,353,と呼び
217,359,いること
218,361,枚目のアルバム
219,362,三好
