,id,surface,pos,len
0,1,['権力'],"['名詞,一般,*,*']",1
1,2,"['と', '推定', 'さ', 'れ', 'て', 'いる']","['助詞,格助詞,引用,*', '名詞,サ変接続,*,*', '動詞,自立,*,*', '動詞,接尾,*,*', '助詞,接続助詞,*,*', '動詞,非自立,*,*']",6
2,5,['真奈美'],"['名詞,固有名詞,人名,名']",1
3,6,"['青い', '鳥']","['形容詞,自立,*,*', '名詞,一般,*,*']",2
4,8,['ブレイ'],"['名詞,固有名詞,組織,*']",1
5,9,['一色'],"['名詞,一般,*,*']",1
6,10,"['式', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
7,11,['ヨー'],"['助詞,終助詞,*,*']",1
8,12,"['を', '除け', 'ば']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助詞,接続助詞,*,*']",3
9,13,['暴'],"['名詞,固有名詞,組織,*']",1
10,14,"['劇', '中歌']","['名詞,一般,*,*', '名詞,固有名詞,地域,一般']",2
11,18,['西暦'],"['名詞,一般,*,*']",1
12,24,['学級'],"['名詞,一般,*,*']",1
13,26,['作り'],"['名詞,一般,*,*']",1
14,29,['装填'],"['名詞,サ変接続,*,*']",1
15,31,['領地'],"['名詞,一般,*,*']",1
16,33,['ヲ'],"['名詞,固有名詞,一般,*']",1
17,34,['捕獲'],"['名詞,サ変接続,*,*']",1
18,35,"['を', 'カバー', 'する']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*']",3
19,37,"['特別', '番組']","['名詞,形容動詞語幹,*,*', '名詞,一般,*,*']",2
20,38,"['こと', 'と', 'なり']","['名詞,非自立,一般,*', '助詞,格助詞,一般,*', '動詞,自立,*,*']",3
21,43,['汐留'],"['名詞,固有名詞,人名,姓']",1
22,46,['艦上'],"['名詞,一般,*,*']",1
23,47,"['前作', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
24,48,['皆川'],"['名詞,固有名詞,人名,姓']",1
25,49,['チュラ'],"['名詞,固有名詞,組織,*']",1
26,50,['成人'],"['名詞,サ変接続,*,*']",1
27,54,['脂質'],"['名詞,一般,*,*']",1
28,58,['曠'],"['名詞,固有名詞,組織,*']",1
29,61,"['けん', 'どう']","['動詞,自立,*,*', '副詞,助詞類接続,*,*']",2
30,62,['レスラー'],"['名詞,一般,*,*']",1
31,64,['脂肪'],"['名詞,一般,*,*']",1
32,65,['ダン'],"['名詞,固有名詞,人名,名']",1
33,66,"['川', '流域']","['名詞,一般,*,*', '名詞,一般,*,*']",2
34,67,['流体'],"['名詞,一般,*,*']",1
35,69,"['月', 'の', '第']","['名詞,一般,*,*', '助詞,連体化,*,*', '接頭詞,数接続,*,*']",3
36,70,['研究'],"['名詞,サ変接続,*,*']",1
37,72,['講道館'],"['名詞,固有名詞,一般,*']",1
38,73,['おし'],"['名詞,一般,*,*']",1
39,74,['ミド'],"['名詞,固有名詞,組織,*']",1
40,75,['ギネス'],"['名詞,固有名詞,組織,*']",1
41,77,['車椅子'],"['名詞,一般,*,*']",1
42,78,['御家人'],"['名詞,一般,*,*']",1
43,81,"['の', '流れ']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
44,82,"['ち', 'ちん', 'ぷいぷい']","['動詞,自立,*,*', '名詞,接尾,人名,*', '名詞,一般,*,*']",3
45,85,"['登場', '作品']","['名詞,サ変接続,*,*', '名詞,一般,*,*']",2
46,86,"['を', '食べる']","['助詞,格助詞,一般,*', '動詞,自立,*,*']",2
47,87,"['を', '聞く']","['助詞,格助詞,一般,*', '動詞,自立,*,*']",2
48,88,['大竹'],"['名詞,固有名詞,人名,姓']",1
49,90,"['から', '構成', 'さ', 'れ']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*', '動詞,接尾,*,*']",4
50,92,['太字'],"['名詞,一般,*,*']",1
51,93,"['一', 'の']","['名詞,数,*,*', '助詞,連体化,*,*']",2
52,94,"['原則', 'として']","['名詞,一般,*,*', '助詞,格助詞,連語,*']",2
53,95,"['国立', '国会図書館']","['名詞,一般,*,*', '名詞,固有名詞,組織,*']",2
54,96,['系'],"['名詞,一般,*,*']",1
55,97,['囮'],"['名詞,一般,*,*']",1
56,99,['尾張'],"['名詞,固有名詞,地域,一般']",1
57,100,['三陸'],"['名詞,一般,*,*']",1
58,102,['田尻'],"['名詞,固有名詞,人名,姓']",1
59,104,"['知ら', 'れ']","['動詞,自立,*,*', '動詞,接尾,*,*']",2
60,105,['雨'],"['名詞,一般,*,*']",1
61,106,['リカ'],"['名詞,固有名詞,一般,*']",1
62,107,['ワット'],"['名詞,一般,*,*']",1
63,108,['厨'],"['名詞,一般,*,*']",1
64,109,['ひがし'],"['名詞,一般,*,*']",1
65,110,"['世界中', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
66,111,"['番組', '内', 'で']","['名詞,一般,*,*', '名詞,接尾,一般,*', '助詞,格助詞,一般,*']",3
67,112,['指輪'],"['名詞,一般,*,*']",1
68,113,['技'],"['名詞,一般,*,*']",1
69,116,"['イエズス', '会']","['名詞,一般,*,*', '名詞,接尾,一般,*']",2
70,117,"['を', '確保', 'し']","['助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*']",3
71,118,"['周囲', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
72,119,"['残さ', 'れ', 'て', 'い', 'た']","['動詞,自立,*,*', '動詞,接尾,*,*', '助詞,接続助詞,*,*', '動詞,非自立,*,*', '助動詞,*,*,*']",5
73,120,['メロ'],"['名詞,固有名詞,組織,*']",1
74,122,['優勢'],"['名詞,形容動詞語幹,*,*']",1
75,123,['麻痺'],"['名詞,サ変接続,*,*']",1
76,124,"['ん', 'ざい']","['助詞,特殊,*,*', '名詞,一般,*,*']",2
77,126,['亘'],"['名詞,固有名詞,人名,名']",1
78,127,['矢作'],"['名詞,固有名詞,人名,姓']",1
79,128,['奇'],"['名詞,一般,*,*']",1
80,130,['日程'],"['名詞,一般,*,*']",1
81,131,['萍'],"['名詞,固有名詞,組織,*']",1
82,132,"['者', 'で', 'ある']","['名詞,一般,*,*', '助動詞,*,*,*', '助動詞,*,*,*']",3
83,137,"['二', '級']","['名詞,数,*,*', '名詞,接尾,助数詞,*']",2
84,139,"['カリフォルニア', '大学']","['名詞,固有名詞,地域,一般', '名詞,一般,*,*']",2
85,140,"['の', '形', 'で']","['助詞,連体化,*,*', '名詞,一般,*,*', '助詞,格助詞,一般,*']",3
86,141,['キャンペーン'],"['名詞,一般,*,*']",1
87,142,"['に', '用い', 'られ', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '動詞,接尾,*,*', '助動詞,*,*,*']",4
88,143,['ピカ'],"['名詞,固有名詞,一般,*']",1
89,144,['鈴鹿'],"['名詞,固有名詞,地域,一般']",1
90,146,['りんご'],"['名詞,一般,*,*']",1
91,148,"['例外', '的', 'に']","['名詞,一般,*,*', '名詞,接尾,形容動詞語幹,*', '助詞,副詞化,*,*']",3
92,149,['マウス'],"['名詞,一般,*,*']",1
93,151,['独唱'],"['名詞,サ変接続,*,*']",1
94,152,['聴く'],"['動詞,自立,*,*']",1
95,154,"['の', 'か']","['名詞,非自立,一般,*', '助詞,副助詞／並立助詞／終助詞,*,*']",2
96,159,['程度'],"['名詞,一般,*,*']",1
97,160,"['協力', '者']","['名詞,サ変接続,*,*', '名詞,接尾,一般,*']",2
98,161,['守谷'],"['名詞,固有名詞,人名,姓']",1
99,165,"['年', '以降']","['名詞,一般,*,*', '名詞,副詞可能,*,*']",2
100,166,['エヴァン'],"['名詞,固有名詞,組織,*']",1
101,167,['鵯'],"['名詞,一般,*,*']",1
102,168,['妨害'],"['名詞,サ変接続,*,*']",1
103,170,['穏'],"['名詞,固有名詞,組織,*']",1
104,171,"['年', 'に', '発売', 'さ', 'れ', 'た']","['名詞,一般,*,*', '助詞,格助詞,一般,*', '名詞,サ変接続,*,*', '動詞,自立,*,*', '動詞,接尾,*,*', '助動詞,*,*,*']",6
105,172,"['開始', 'し', 'た']","['名詞,サ変接続,*,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
106,174,"['の', '形']","['助詞,連体化,*,*', '名詞,一般,*,*']",2
107,178,['假'],"['名詞,固有名詞,組織,*']",1
108,182,['メイト'],"['名詞,固有名詞,組織,*']",1
109,183,"['が', '悪い']","['助詞,格助詞,一般,*', '形容詞,自立,*,*']",2
110,184,['精算'],"['名詞,サ変接続,*,*']",1
111,186,"['に', '強く']","['助詞,格助詞,一般,*', '形容詞,自立,*,*']",2
112,187,['ロイ'],"['名詞,固有名詞,組織,*']",1
113,189,"['か', 'な']","['助詞,副助詞／並立助詞／終助詞,*,*', '助詞,終助詞,*,*']",2
114,190,"['スカ', 'パー']","['名詞,一般,*,*', '名詞,一般,*,*']",2
115,192,"['ロンドン', 'オリンピック']","['名詞,固有名詞,地域,一般', '名詞,一般,*,*']",2
116,193,['スタイル'],"['名詞,一般,*,*']",1
117,194,['架橋'],"['名詞,サ変接続,*,*']",1
118,196,"['を', '走る']","['助詞,格助詞,一般,*', '動詞,自立,*,*']",2
119,197,"['ン', 'は']","['名詞,非自立,一般,*', '助詞,係助詞,*,*']",2
120,200,['メキシカン'],"['名詞,固有名詞,組織,*']",1
121,201,"['河北', '省']","['名詞,固有名詞,地域,一般', '名詞,接尾,一般,*']",2
122,202,"['新潟', '県']","['名詞,固有名詞,地域,一般', '名詞,接尾,地域,*']",2
123,209,['ブレーメン'],"['名詞,固有名詞,地域,一般']",1
124,211,['矢島'],"['名詞,固有名詞,人名,姓']",1
125,212,"['を', '超え', 'た']","['助詞,格助詞,一般,*', '動詞,自立,*,*', '助動詞,*,*,*']",3
126,213,['美穂'],"['名詞,固有名詞,人名,姓']",1
127,214,"['いち', 'らん']","['名詞,一般,*,*', '名詞,一般,*,*']",2
128,215,['ポニー'],"['名詞,固有名詞,組織,*']",1
129,216,['野党'],"['名詞,一般,*,*']",1
130,218,['対抗'],"['名詞,サ変接続,*,*']",1
131,220,['ドラマ'],"['名詞,一般,*,*']",1
132,222,"['の', '第']","['助詞,連体化,*,*', '接頭詞,数接続,*,*']",2
133,223,['粛清'],"['名詞,サ変接続,*,*']",1
134,224,"['大学', 'の']","['名詞,一般,*,*', '助詞,連体化,*,*']",2
135,225,['アスタ'],"['名詞,固有名詞,組織,*']",1
136,226,['辮'],"['名詞,固有名詞,組織,*']",1
137,228,['トカゲ'],"['名詞,一般,*,*']",1
138,229,['長谷部'],"['名詞,固有名詞,人名,姓']",1
139,230,['切っ掛け'],"['名詞,一般,*,*']",1
140,232,['琳'],"['名詞,固有名詞,組織,*']",1
