,id,vocab
0,805,太
1,9572,文章
2,2988,地震
3,29835,選択肢
4,4282,ホワイト
5,17215,無人
6,15553,事から
7,19813,鍋島
8,27246,デュアル
9,11160,"."""
10,19894,道中
11,166,<0x9F>
12,3918,ジャズ
13,27661,いたずら
14,6043,ユニ
15,15963,期には
16,29410,博士課程満期退学
17,12359,aster
18,18300,2013-14
19,23128,▁技術協力
20,4470,丈
21,3444,護
22,17913,休業
23,12455,女流
24,7680,上杉
25,5907,ウォー
26,12289,はま
27,3428,放
28,1641,韓国
29,29868,火力発電所
30,28454,薦
31,4112,際に
32,516,下さい
33,23677,が開設され
34,28945,kHz
35,24259,水力発電
36,16202,童話
37,15596,洞窟
38,24660,を有していた
39,9830,近くに
40,891,座
41,24633,美樹
42,4123,山形
43,18334,TX
44,25005,カセット
45,2030,2019
46,3926,長官
47,27314,包囲戦
48,21553,アベ
49,25762,インフォメーション
50,11103,西宮
51,29783,迦
52,19794,重ね
53,20583,かったため
54,26382,Believe
55,31286,匁
56,11851,葉は
57,18674,を寄せ
58,1644,ad
59,13260,時代劇
60,30960,沫
61,8106,、1958
62,9152,国際映画祭
63,11237,内側
64,8970,編集長
65,17195,リガ
66,9655,成果
67,13933,▁ex
68,22153,京畿道
69,10772,ティル
70,29095,日豊本線
71,25183,SHA
72,30645,槐
73,17376,建造された
74,4547,ヴィー
75,26533,実用化
76,6051,‐
77,18994,電気軌道
78,17254,高齢
79,9079,▁Pi
80,16442,にあって
81,30559,衞
82,5444,フランク
83,17776,1-6
84,22723,千尋
85,6681,ショート
86,31627,斂
87,18489,丹後
88,2662,(*
89,13093,に登録
90,17708,aj
91,19975,オンエア
92,15117,総合研究所
93,29638,繰り返され
94,12090,じて
95,27976,を置いている
96,19442,選帝侯
97,17696,茶道
98,14271,▁1940
99,20439,▁Gal
100,25676,エミー賞
101,27685,躍進
102,1693,)11
103,20856,▁Ly
104,464,美
105,7099,▁en
106,446,度
107,7655,ハウ
108,5755,オープニングテーマ
109,30427,斥
110,27407,在職中
111,21877,を管轄する
112,12588,、1939
113,11680,耶
114,16863,メンバーは
115,6418,1900
116,7482,▁世界
117,29724,ヘルメット
118,13561,▁JA
119,22806,老舗
120,31915,瑳
121,25442,東晋
122,28632,製糖
123,27603,梢
124,1127,ロン
125,23995,で見られる
126,31744,〝
127,2343,鬼
128,9972,近年
129,19887,を解消
130,17006,特別な
131,1864,制度
132,11207,pro
133,11133,cle
134,6255,VE
135,23601,師団長
136,22729,Albert
137,14336,itz
138,13801,実は
139,587,ティ
140,9119,フラワー
141,8060,エンタテインメント
142,11767,gan
143,15816,たれ
144,7290,社会主義
145,8998,国語
146,14500,にともない
147,10328,des
148,19394,に乗車
149,832,X
150,1073,銀行
151,25819,初回限定盤には
152,722,ゴ
153,3344,衛
154,5316,あと
155,11573,エレクトリック
156,10704,▁Tri
157,13450,部分が
158,27143,発起人
159,26955,中国人民解放軍
160,26915,伊勢神宮
161,30454,謂
162,19521,base
163,18847,優駿
164,24650,を占領し
165,4968,▁Man
166,15541,位を獲得した
167,970,記
168,16508,ペンシルベニア州
169,23274,磁場
170,16253,頂点
171,1981,甲
172,609,学校
173,4338,レオ
174,12487,拒否
175,22422,十字架
176,18841,会長に就任
177,23138,領内
178,458,バ
179,11756,はち
180,26721,まなみ
181,29559,ダイナマイト
182,26292,コンタクト
183,15254,ひとみ
184,29181,自転車競技選手
185,10946,キッズ
186,2102,佐藤
187,3384,73
188,27909,を占めている
189,12581,ニシ
190,7605,携帯電話
191,26423,を生み出し
192,241,<0xEA>
193,9236,を歴任した
194,20530,サザン
195,2503,原作
196,14723,春秋
197,16033,出身地
198,15490,。1892
199,17883,森本
200,22011,との交流
201,9227,鳩
202,13319,デビュー作
203,28325,を拒否した
204,7082,跡地
205,14870,などでは
206,26254,街路
207,16905,ロジー
208,15146,ゆる
209,26343,を前身とする
210,8333,初優勝
211,24022,ラインナップ
212,28138,専門課程
213,5403,裁
214,23465,CHO
215,5027,ファースト
216,12210,鱗
217,19573,失格
218,12096,変わり
219,18754,中毒
220,11087,リム
221,9315,全く
222,10444,香川
223,31496,假
224,1346,▁2013
225,10920,イエス
226,8134,伊予
227,19599,予定だった
228,9774,の道
229,21347,の頭文字
230,16686,東北地方
231,4725,ロール
232,20961,▁Fu
233,23626,▁1911
234,21610,小隊
235,25932,孤児
236,12111,平面
237,26944,枢機卿
238,2513,高橋
239,18208,元帥
240,28994,をテーマとした
241,11873,荻
242,8857,両者
243,9857,改装
244,12598,▁講談社
245,25156,レッドソックス
246,24392,▁139.
247,10603,▁豊
248,13423,顎
249,30567,瀑
250,19140,ی
251,12766,信頼
252,23837,いわて
253,26914,悼
254,12007,家政
255,30640,猥
256,8368,STAR
257,11559,web
258,14117,Sch
259,16849,mod
260,29450,のあり方
261,14005,せて
262,6830,背景
263,4967,東西
264,24149,史記
265,662,宮
266,5979,CR
267,23406,大会出場
268,13680,の範囲
269,19743,弘化
270,26324,ค
271,6719,登板
272,10300,太鼓
273,2090,最大
274,23365,ぶっ
275,6111,ファミリー
276,25213,浅い
277,8182,再現
278,27334,絵図
279,30790,ṃ
280,14893,Po
281,28373,ա
282,10987,クシ
283,3726,はその
284,6614,1932
285,8508,に貢献
286,26857,弔
287,26436,陝西省
288,31468,忻
289,21195,イスト
290,30906,瀾
291,26266,オリエンタル
292,19646,と呼ばれることもある
293,29872,から来ている
294,10958,騒動
295,28965,▁Fighting
296,11313,産の
297,27845,主軸
298,17216,畜産
299,31328,黃
300,4298,ヘンリー
301,29890,蛙
302,16074,マーチ
303,8200,学院大学
304,16448,シク
305,28086,病没
306,6075,線の駅
307,4936,選択
308,20403,▁45
309,29213,サハリン
310,14932,クイーンズ
311,7850,他にも
312,25863,IKE
313,28875,の常連
314,19812,岸田
315,8501,遊び
316,21709,-2006
317,24075,多くの場合
318,15247,次いで
319,302,8
320,7750,アダム
321,11734,光学
322,16726,すぎる
323,3855,菊
324,20416,使える
325,17641,パブリック
326,14734,ali
327,17800,迎
328,15145,とも表記される
329,11545,att
330,20272,▁Des
331,1304,re
332,14641,ミドル
333,20585,ステン
334,17808,の成績を残した
335,23580,勝ち点
336,31177,厲
337,18915,ロビー
338,27216,▁978-4-3
339,29282,Official
340,26808,隙間
341,5005,忍
342,16447,問屋
343,29941,トバゴ
344,30828,霖
345,8335,−
346,9278,1962
347,8536,ビリー
348,25717,テナー
349,12097,ú
350,25721,▁trax
351,18920,これによって
352,30831,마
353,2585,mo
354,22091,未知
355,18865,世界観
356,29836,Yoshi
357,7560,区分
358,4478,丹
359,23167,アルビレックス新潟
360,8703,込まれ
361,15433,落選した
362,17795,365
363,13425,Vo
364,19006,コメ
365,3805,体重
366,12350,ピーク
367,23630,鮫
368,26782,に加盟している
369,23123,を交え
370,27094,男女共学
371,13657,岡山市
372,29882,太陽光発電
373,1740,配信
374,11516,後漢
375,27781,補完
376,18495,実子
377,136,<0x81>
378,8345,、1961
379,29350,ミシシッピ
380,31245,俘
381,8972,主要地方道
382,30742,捏
383,24641,ά
384,16889,DB
385,15797,記述する
386,31611,ʿ
387,19744,渡米
388,8922,枚の
389,6676,捕
390,18503,放映された
391,3347,。1989
392,6085,解析
393,9870,▁福
394,26736,ピョートル
395,26091,おいしい
396,6407,つつ
397,20267,支払い
398,30571,玩
