,id,vocab
0,0,ーゼ
1,1,われる
2,2,によっては
3,3,回戦で
4,4,アンサンブル
5,5,させる
6,6,本田
7,8,脊髄
8,9,山梨県
9,10,瞑
10,11,樫
11,12,ヤンキース
12,13,出して
13,14,未収録
14,15,という意味
15,16,屋根
16,17,売店
17,19,凸
18,20,の治世
19,21,ことになり
20,22,を聞き
21,23,轍
22,24,ラプソディ
23,25,吽
24,26,応
25,29,する形で
26,30,シルバー
27,31,周囲に
28,33,土居
29,35,みちのえき
30,36,年代後半から
31,38,本塁打
32,39,邉
33,40,糖
34,41,リエージュ
35,42,壱岐
36,43,登山
37,44,覆
38,45,関連
39,46,大会
40,47,わけ
41,48,デット
42,50,そのほか
43,51,上げ
44,52,ウィンター
45,53,ヨーロッパ選手権
46,54,ニョー
47,55,国書刊行会
48,56,世紀初頭
49,58,日本標準時
50,59,虞
51,60,咳
52,61,対潜
53,62,読書
54,63,に位置している
55,64,集英社
56,65,田
57,66,れん
58,67,縄文
59,69,第二次世界大戦中
60,71,羅
61,72,チャル
62,73,劇団四季
63,75,ゆか
64,79,鍔
65,80,社名
66,81,での活動
67,82,菫
68,83,キッチン
69,84,ヘクタール
70,85,市営地下鉄
71,86,チャリティー
72,87,の法則
73,88,かかって
74,89,のシングル
75,90,執
76,91,輸出
77,92,コンクリート
78,93,が好き
79,94,ヴォ
80,96,暴行
81,97,は不明
82,98,九十九
83,101,茉
84,102,刑
85,103,するようになり
86,104,日本の俳優
87,105,大学教授
88,107,純粋
89,108,フライ級王者
90,111,ふしぎ
91,115,を中心に活動
92,116,戸籍
93,118,備考
94,119,落とす
95,120,年の時には
96,121,藩主
97,122,リーディング
98,123,日比谷
99,124,勅令
100,125,部分に
101,126,謡
102,127,嗚
103,128,回衆議院議員総選挙で
104,129,瓶
105,130,棄却
106,131,助
107,132,意
108,133,筆頭
109,134,駐在
110,135,安定
111,136,汕
112,137,払
113,139,プファルツ
114,140,の里
115,141,ないまま
116,142,架橋
117,143,大規模な
118,144,できるように
119,145,迷宮
120,146,クラシック音楽
121,147,▁小林
122,150,に至る一般県道である
123,151,誦
124,152,笠
125,153,操作
126,154,イタリア語版
127,155,管弦楽団
128,158,署長
129,159,チョル
130,161,モジュール
131,162,を抱く
132,163,一般に
133,165,篭
134,166,将来
135,167,反撃
136,168,ミニアルバム
137,170,鸞
138,171,残る
139,173,再建
140,175,昭和初期
141,176,回廊
142,177,武家
143,178,使われていた
144,179,デニス
145,180,側の
146,181,続
147,183,梓
148,184,試合に出場して打率
149,185,フレイ
150,188,首
151,189,含まれ
152,190,彼自身
153,191,盲
154,192,ようになった
155,194,パンク
156,195,つんく
157,198,そうごう
158,199,名神高速道路
159,200,チームの
160,201,ベネズエラ
161,202,をベースに
162,203,草津
163,204,すべての
164,205,幼少期
165,206,潜入
166,207,相川
167,210,デポルティーボ
168,214,▁新
169,215,福岡県立
170,217,ループ
171,218,月刊誌
172,219,任務
173,220,監事
174,221,トーキョー
175,223,お笑い
176,224,フランス語
177,225,ドイツの
178,226,嬌
179,227,本尊
180,228,スプリント
181,230,マイヤー
182,231,支庁
183,233,販売
184,234,エディンバラ
185,235,の北
186,236,に沿った
187,237,フェア
188,240,図書館
189,242,地上駅
190,243,罷
191,244,具体的には
192,245,ジェイソン
193,246,親王
194,247,箋
195,248,鋼
196,249,給食
197,250,▁ホ
198,251,県の
199,252,海運
200,254,の秘密
201,255,テオ
202,256,を製作
203,258,同時
204,261,桐生
205,262,弓
206,263,チル
207,264,ヘレ
208,266,別の
209,267,▁美術
210,268,の建設
211,269,この頃
212,270,美術アカデミー
213,271,全世界
214,272,君に
215,273,赤松
216,274,テンション
217,275,カンヌ国際映画祭
218,276,センター
219,277,註
220,278,描く
221,279,柔道家
222,280,くう
223,282,開局
224,283,忘れ
225,285,アサヒ
226,288,東北大学
227,289,随筆
228,290,浩二
229,291,として使用されている
230,292,開幕戦
231,293,テオドール
232,294,シンシナティ
233,295,幹線道路
234,296,プロレスリング
235,297,交通事故
236,298,奉納
237,299,マイ
238,300,塀
239,301,投手
240,302,クリ
241,303,ヒュ
242,306,へ移転
243,307,などから
244,308,を経由し
245,309,見解
246,310,漢字
247,311,シックス
248,312,清水
249,313,発見
250,314,静岡
251,315,で第
252,316,中央アジア
253,317,石器
254,318,を採用している
255,319,の意味
256,320,出家
257,321,ハット
258,322,利
259,323,航海
260,324,が完成し
261,326,・・・
262,328,埼玉
263,329,日本の男性
264,330,兒
265,331,コネチカット州
266,333,套
267,335,カトリック教会
268,336,広島県広島市
269,337,ソフトバンクモバイル
270,338,しない
271,339,棋
272,341,ニューオーリンズ
273,342,武道
274,343,帰属
275,344,静岡県立
276,345,箱
277,346,と称し
278,347,を伝える
279,348,大谷
280,349,肛門
281,350,ドロ
282,351,ミツ
283,352,リアス
284,353,リマスター
285,354,料理
286,355,ケ崎
287,356,密
288,357,疲
289,358,芳賀
290,359,パウル
291,360,明星
292,361,以後は
293,362,八尾
294,363,挑戦者
295,364,年代以降
296,365,江戸時代中期の
297,366,招き
298,367,急
299,371,閃
300,372,テック
301,373,常識
302,374,艇
303,375,正しい
304,376,和平
305,377,付与
306,378,轄
307,379,呼ばれ
308,380,本番組
309,381,医療法人
310,382,モフ
311,383,を強め
312,384,魔
313,385,まじ
314,386,紺
315,388,珍しい
316,389,中部
317,392,東京都文京区
318,393,などを歴任した
319,394,スタンフォード大学
320,395,奎
321,397,レフ
322,398,夷
323,399,モンタ
324,400,てい
325,401,チケット
326,402,芸能界
327,403,ビタミン
328,404,佐竹
329,405,ブンデスリーガ
330,406,洪武
331,407,都市計画道路
332,408,ドリーム
333,409,宝塚
334,411,その一方で
335,412,射殺
336,414,視聴
337,415,交通安全
338,416,の他に
339,417,ベラルーシ
340,418,世紀
341,419,ちゃ
342,420,漂流
343,421,野川
344,423,責任
345,424,チキン
346,425,山口県立
347,426,終始
348,427,にもかかわらず
349,429,調味料
350,430,世界
351,431,レッスン
352,432,下院
353,433,スティング
354,434,学を専攻
355,436,ロイ
356,437,ッシャー
357,438,することが可能
358,439,団体である
359,441,の色
360,442,措置
361,443,ロベール
362,444,ビ
363,445,ピョートル
364,446,出入口
365,447,蕗
366,448,鎌
367,449,後継
368,450,に貢献
369,452,をはじめ
370,453,いとう
371,454,リンクを適切な項目に張り替えて
372,455,願寺
373,456,理事長
374,461,誓
375,462,スタンド
376,463,毎日新聞
377,464,絵巻
378,466,治療
379,467,転
380,468,音楽監督
381,469,向き
382,470,頭
383,471,聘
384,472,を残し
385,473,異なった
386,474,友情
387,475,人格
388,476,が追加された
389,477,オーナー
390,480,渚
391,483,蒋
392,484,戊辰戦争
393,486,荘園
394,487,一般化
395,488,通っていた
396,489,シュー
397,490,からなり
398,491,カ国
399,492,堀内
400,493,展望
401,494,帰国後
402,495,の生産
403,496,年代の
404,497,其
405,500,の指揮下
406,501,趣味は
407,502,キャンセル
408,503,町二丁目
409,504,▁アメリカの
410,505,ほく
411,507,吸
412,508,炎症
413,509,城市
414,510,村の
415,511,巨大
416,512,購買
417,514,を占め
418,517,開校した
419,518,ロケーション
420,519,陽
421,521,経済産業省
422,522,赤軍
423,523,―
424,524,鍛え
425,525,ウィリー
426,526,室町時代
427,527,粲
428,528,に隣接し
429,529,同一
430,530,サテライト
431,531,別府
432,532,川上
433,533,バスケットボール選手
434,534,渭
435,535,高等学校
436,537,みよし
437,540,ブロー
438,541,綾
439,542,ストロ
440,543,疑問
441,544,自転車競技選手
442,546,金額
443,547,転校
444,548,上海市
445,550,あか
446,551,学校
447,552,いい
448,553,倍
449,554,熱海
450,555,のあいだ
451,556,加
452,557,キュ
453,559,寸前
454,561,家電
455,562,菅
456,563,を拠点に活動
457,564,指
458,566,システムズ
459,567,バス停
460,568,診断
461,569,受
462,571,トラック
463,572,チャート
464,573,下に
465,574,棋士
466,575,休憩
467,577,土地区画整理事業
468,578,八木
469,579,が進み
470,580,に敗れる
471,581,読売テレビ
472,582,を備え
473,583,ヅ
474,585,に改組
475,586,新興
476,588,在職中
477,590,麿
478,591,言
479,592,あん
480,593,陸軍大学校
481,594,み
482,595,遇
483,597,仕
484,598,を歴任した
485,600,舩
486,601,とお
487,602,醜
488,605,慕容
489,606,高円宮杯
490,608,正面
491,609,僚
492,610,櫨
493,611,図鑑
494,612,帰依
495,614,応援
496,615,日本機械学会
497,616,州の
498,617,気象情報
499,618,レント
500,619,伝道
501,620,光院
502,621,繹
503,622,▁愛
504,623,ギョ
505,625,流通
506,626,ベトナム語
507,627,はら
508,628,さつ
509,629,塁
510,630,未定
511,631,ドール
512,632,延暦
513,633,暁
514,634,バスク
515,635,日報
516,636,改訂版
517,637,エックス
518,638,転移
519,640,ほう
520,642,よい
521,643,されていて
522,644,音楽プロデューサー
523,645,吹き
524,646,前線
525,647,ミラ
526,648,グラム
527,650,甸
528,651,本格的に
529,652,摂津国
530,653,歌人
531,654,選手権大会
532,655,ナビ
533,656,創建
534,657,概要
535,658,ユネスコ
536,660,杭
537,661,科学部
538,662,に属す
539,664,の監督
540,666,童話
541,667,挿絵
542,668,消化器
543,669,ぜ
544,671,が入っている
545,672,リビア
546,673,徴
547,674,忠実
548,676,の指揮
549,677,イスラエル
550,678,伝統的
551,679,優勝馬
552,680,管轄
553,682,忘
554,684,カントリー
555,685,銚
556,687,はないが
557,688,に耐え
558,689,伊勢
559,690,番艦
560,692,都内
561,694,使用する
562,695,を禁じ
563,697,流れる
564,698,仇
565,699,山形県
566,700,財政
567,701,カブス
568,702,ネイション
569,704,プリンストン大学
570,705,おもちゃ
571,706,看護婦
572,707,までは
573,709,スーザン
574,710,搭乗
575,711,電気
576,712,≠
577,713,栗
578,714,興
579,715,カザフスタン
580,716,んじ
581,717,フリート
582,718,灌
583,719,分野
584,721,むら
585,722,トキ
586,725,祢
587,726,事務官
588,727,蒸
589,728,ラン
590,731,開き
591,732,嵩
592,733,大明神
593,734,社会民主党
594,735,ヒント
595,736,バレーボール選手
596,737,造成
597,738,みね
598,740,糖尿病
599,741,バファローズ
600,742,フス
601,743,降車
602,744,古くから
603,745,女子シングル
604,747,を統括する
605,749,パニック
606,751,家庭用
607,752,一緒に
608,753,死亡した
609,755,補欠
610,756,ドルフ
611,757,カリウム
612,758,を募集し
613,759,ぼ
614,760,プー
615,763,なっている
616,765,蔡
617,766,となったため
618,767,飼料
619,770,大規模
620,771,ストレス
621,772,旅館
622,773,御前
623,775,アリー
624,777,割譲
625,778,関係者
626,779,を建設し
627,780,産業
628,781,せかい
629,782,と出会い
630,783,屋外
631,784,終盤
632,785,ビジネス
633,786,カイ
634,787,本名
635,788,を置く
636,789,つながる
637,790,孜
638,791,植樹
639,792,ガリア
640,793,光の
641,794,運休
642,795,≒
643,796,警戒
644,797,徳山
645,798,眠
646,799,グルジア語
647,800,指示
648,801,といわれ
649,803,後には
650,804,パラメータ
651,805,死に
652,807,マルセル
653,808,を深め
654,809,フラッシュ
655,810,品川
656,811,指す
657,812,が建設され
658,813,誕
659,815,棚
660,816,ハンガリー帝国
661,817,って
662,818,ヨルダン
663,819,プリメーラ
664,820,恋愛
665,821,ジョー
666,822,ちゅうけいきょく
667,824,転生
668,826,貞享
669,827,月下旬
670,828,後半
671,829,せい
672,830,現存する
673,831,を兼務
674,832,日本各地
675,833,ッ
676,834,を止め
677,835,最も高い
678,836,ロン
679,837,映
680,838,プラハ
681,839,演奏する
682,840,デビュー作
683,841,回の
684,842,慎吾
685,843,に終わった
686,844,芦屋
687,845,イェール大学
688,847,高等女学校
689,848,カト
690,849,福島
691,850,エンターテイメント
692,852,到着
693,854,しも
694,855,防護
695,856,してしまった
696,858,映画
697,859,被爆
698,860,マネージャー
699,861,励
700,863,恐慌
701,864,河野
702,866,議員連盟
703,868,日本統治時代
704,869,蹴り
705,870,浜田
706,871,追跡
707,872,鑼
708,873,工作
709,874,につき
710,875,ブレーブス
711,876,年間に
712,877,ロドリゲス
713,878,廷
714,880,凡例
715,881,多目的
716,882,歩兵
717,883,ヴァイオリニスト
718,884,亢
719,886,怪獣
720,887,の意
721,888,央
722,889,ストップ
723,891,逓
724,893,除く
725,894,砺
726,895,着工
727,896,分析
728,897,隣接
729,898,矢野
730,899,に就いた
731,902,解像度
732,903,▁撮影
733,905,貸与
734,906,《
735,908,弘
736,910,ライデン
737,911,医薬品
738,912,肆
739,913,プロボクサー
740,914,不二
741,915,学期
742,916,ディフェンダー
743,918,ワシ
744,919,早
745,921,ユニバース
746,922,単体
747,923,で開催された
748,924,州の州都
749,925,姫命
750,926,サンドロ
751,927,撒
752,928,三井
753,929,矯
754,930,保険
755,931,アーク
756,932,釉
757,933,攸
758,934,妖
759,936,防府
760,937,ロット
761,938,を待つ
762,939,安定した
763,940,ダー
764,941,市轄区
765,942,再婚
766,944,に向かって
767,945,松下電器
768,946,名古屋
769,947,浄瑠璃
770,948,ボケ
771,949,診療
772,950,さいたま市
773,951,ハラ
774,952,ノール
775,953,地方裁判所判事
776,954,スイ
777,955,洸
778,956,選手団
779,957,奪還
780,958,駅西口
781,959,点在し
782,960,手
783,961,の一部を編入
784,962,保育
785,963,鉄工所
786,964,牙
787,965,セガ
788,966,を含め
789,967,クション
790,968,寄贈
791,969,カリフォルニア州
792,970,のプロフィール
793,971,ドイツ人
794,972,を残して
795,973,劭
796,974,房
797,975,ルナ
798,976,▁ワールド
799,977,窒素
800,978,岸田
801,979,鶯
802,980,根本
803,981,口腔
804,982,ボード
805,983,を獲得する
806,984,対外
807,986,の番組
808,987,ふくしま
809,988,厘
810,989,霧
811,990,マヤ
812,991,で没した
813,992,きっかけ
814,993,トリノオリンピック
815,994,曺
816,995,などを
817,996,名付けられた
818,998,蜃
819,999,樋口
820,1000,が成立する
821,1001,成都
822,1002,新聞社
823,1003,ていき
824,1004,パナソニック
825,1005,医
826,1006,出した
827,1008,おおよそ
828,1009,話し
829,1010,さか
830,1011,晩
831,1012,ジョージア
832,1014,軽量
833,1015,虹
834,1016,ノートルダム
835,1017,奚
836,1018,漕
837,1019,れ
838,1020,の定理
839,1021,三角形
840,1022,学習研究社
841,1023,クライマックス
842,1024,リード
843,1025,ω
844,1026,瑛
845,1027,愛の
846,1028,本田技研工業
847,1029,補助
848,1030,ものと思われる
849,1031,渡
850,1032,油
851,1033,マニ
852,1034,ガンバ大阪
853,1035,に掲載された
854,1036,貝塚
855,1037,送信所
856,1038,場面
857,1039,が異なる
858,1040,年頃から
859,1041,エム
860,1042,▁列伝第
861,1045,ニコル
862,1046,にあった村
863,1047,エイベックス
864,1050,公開された
865,1051,供養
866,1052,んぽう
867,1053,抗体
868,1054,された
869,1055,強
870,1056,まゆ
871,1057,レコーディング
872,1058,加工
873,1059,すい
874,1062,美容師
875,1067,メ
876,1068,呼びかけ
877,1069,プリマ
878,1070,を結成し
879,1071,総数
880,1072,プランニング
881,1073,ハドソン
882,1074,専科
883,1075,権を
884,1076,符
885,1077,波長
886,1080,出身の元
887,1081,譲
888,1082,舒
889,1083,水戸ホーリーホック
890,1084,骨格
891,1085,憩
892,1086,を立て
893,1087,淡路大震災
894,1088,プレーした
895,1089,今日の
896,1090,しょうじ
897,1091,況
898,1092,小泉
899,1095,飯能
900,1097,お互い
901,1098,シャ
902,1099,篠原
903,1100,倒産
904,1102,テロ
905,1103,機械
906,1106,ニスト
907,1107,称
908,1108,椒
909,1110,コラボレーション
910,1111,偶
911,1113,年頃に
912,1114,次
913,1115,を本拠地とする
914,1117,殖
915,1118,祖母
916,1119,ぇ
917,1121,懸念
918,1122,社内
919,1123,シャワー
920,1125,面積は
921,1126,長い
922,1127,タイアップ
923,1128,ねん
924,1129,∈
925,1130,観光協会
926,1131,ヤクザ
927,1133,っても
928,1135,▁校歌制定
929,1136,を生かし
930,1137,隙
931,1138,宅地
932,1139,究極
933,1141,柔らかい
934,1142,が設けられている
935,1144,對
936,1145,試作機
937,1146,気圧
938,1148,若
939,1150,減少した
940,1151,フラッグ
941,1152,をテーマに
942,1155,世の
943,1156,販売されている
944,1157,選挙で
945,1158,号交点
946,1159,に所属し
947,1160,城主
948,1162,回戦
949,1163,衰
950,1164,これに伴い
951,1165,キリシタン
952,1166,倫理学
953,1167,救急
954,1168,初恋
955,1169,に係る
956,1171,コミ
